split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
densenet_average_sackin_index,201,-0.6566969167088509,-0.6178613850224446,-0.8816059506975861,-0.9327693155144592,30
densenet_leaf_count,201,-0.2985792734289866,-0.355479122934341,0.3868234992933594,0.4621959272837594,30
resnet_average_branching_factor,201,-0.2352593609856457,-0.248207752562437,-0.1519018255625818,-0.1452523763664827,30
resnet_colless_index,201,-0.7649765270614298,-0.8512972004027196,-0.5250121269299689,-0.4883041497661115,30
resnet_average_colless_index,201,-0.2259823199229671,-0.2238237166155082,-0.3204773777951514,-0.2921812402530816,30
resnet_sackin_index,201,-0.7560456597398735,-0.8436470909561583,-0.8930536462706077,-0.8651397310616821,30
resnet_average_sackin_index,201,-0.6989139527051066,-0.5954581253919498,-0.8767775225857709,-0.8483211737534063,30
resnet_leaf_count,201,-0.6787781686108244,-0.7805538790272426,-0.4599521716309698,-0.4448186646115956,30
cifar_densenet_average_branching_factor,201,-0.0635745849704606,-0.0700055968690607,0.2645410764417042,0.3078106708770769,30
cifar_densenet_colless_index,201,-0.9019706337425362,-0.9383325409977372,-0.4726629360481549,-0.4818458901495535,30
cifar_densenet_average_colless_index,201,-0.7131950052567504,-0.6481016028087009,-0.7910881663000809,-0.8348119715154178,30
cifar_densenet_sackin_index,201,-0.7889870409548291,-0.8605376663729168,-0.6099114705658192,-0.5957550882044076,30
cifar_densenet_average_sackin_index,201,-0.6566969167088509,-0.6178613850224446,-0.8816059506975861,-0.9327693155144592,30
cifar_densenet_leaf_count,201,-0.2985792734289866,-0.355479122934341,0.3868234992933594,0.4621959272837594,30
cifar_resnet_average_branching_factor,201,-0.2352593609856457,-0.248207752562437,-0.1519018255625818,-0.1452523763664827,30
cifar_resnet_colless_index,201,-0.7649765270614298,-0.8512972004027196,-0.5250121269299689,-0.4883041497661115,30
cifar_resnet_average_colless_index,201,-0.2259823199229671,-0.2238237166155082,-0.3204773777951514,-0.2921812402530816,30
cifar_resnet_sackin_index,201,-0.7560456597398735,-0.8436470909561583,-0.8930536462706077,-0.8651397310616821,30
cifar_resnet_average_sackin_index,201,-0.6989139527051066,-0.5954581253919498,-0.8767775225857709,-0.8483211737534063,30
cifar_resnet_leaf_count,201,-0.6787781686108244,-0.7805538790272426,-0.4599521716309698,-0.4448186646115956,30
full_average_branching_factor,402,-0.0810664056603479,-0.0907531410946276,0.0851715796682298,0.1212383257727939,35
full_colless_index,402,-0.7995327343366023,-0.8692646136088964,-0.4403504767317337,-0.4394924798142242,35
full_average_colless_index,402,-0.3708667131987165,-0.3548432039282241,-0.4938710627396925,-0.5378072802246366,35
full_sackin_index,402,-0.7566961417648553,-0.8367242656406308,-0.6540229334654876,-0.6047756365247824,35
full_average_sackin_index,402,-0.6672894786503544,-0.6014307604896217,-0.8720107516493443,-0.887939318508052,35
