,True Label,True Class,count,Proportion,Coverage
605,605,iPod,405,0.0015437981245711673,0.3
450,450,bobsled,405,0.0015437981245711673,0.3
522,522,croquet ball,403,0.0015361744301288405,0.2985
361,361,skunk,401,0.0015285507356865137,0.297
391,391,coho,398,0.0015171151940230236,0.2948
644,644,matchstick,398,0.0015171151940230236,0.2948
539,539,doormat,396,0.0015094914995806969,0.2933
936,936,head cabbage,396,0.0015094914995806969,0.2933
573,573,go-kart,394,0.00150186780513837,0.2919
397,397,puffer,393,0.0014980559579172066,0.2911
367,367,chimpanzee,391,0.00149043226347488,0.2896
937,937,broccoli,391,0.00149043226347488,0.2896
609,609,jeep,388,0.0014789967218113897,0.2874
603,603,horse cart,386,0.001471373027369063,0.2859
88,88,macaw,385,0.0014675611801478997,0.2852
807,807,solar dish,384,0.0014637493329267364,0.2844
533,533,dishrag,383,0.001459937485705573,0.2837
65,65,sea snake,381,0.0014523137912632461,0.2822
447,447,binoculars,380,0.0014485019440420828,0.2815
908,908,wing,379,0.0014446900968209193,0.2807
564,564,four-poster,378,0.001440878249599756,0.28
275,275,African hunting dog,376,0.0014332545551574293,0.2785
880,880,unicycle,376,0.0014332545551574293,0.2785
136,136,European gallinule,371,0.0014141953190516124,0.2748
929,929,ice lolly,369,0.0014065716246092856,0.2733
114,114,slug,367,0.0013989479301669589,0.2719
75,75,black widow,364,0.0013875123885034688,0.2696
580,580,greenhouse,361,0.0013760768468399787,0.2674
843,843,swing,361,0.0013760768468399787,0.2674
772,772,safety pin,360,0.0013722649996188152,0.275
214,214,Gordon setter,358,0.0013646413051764885,0.2652
637,637,mailbox,358,0.0013646413051764885,0.2652
223,223,schipperke,355,0.0013532057635129984,0.263
433,433,bathing cap,351,0.0013379583746283448,0.26
719,719,piggy bank,351,0.0013379583746283448,0.26
176,176,Saluki,350,0.0013341465274071815,0.2593
384,384,indri,347,0.0013227109857436915,0.257
335,335,fox squirrel,343,0.001307463596859038,0.2731
668,668,mosque,340,0.0012960280551955479,0.2519
569,569,garbage truck,338,0.001288404360753221,0.2504
729,729,plate rack,337,0.0012845925135320576,0.3055
113,113,snail,337,0.0012845925135320576,0.2496
996,996,hen-of-the-woods,337,0.0012845925135320576,0.2496
81,81,ptarmigan,337,0.0012845925135320576,0.2496
579,579,grand piano,333,0.0012693451246474042,0.2467
314,314,cockroach,329,0.0012540977357627507,0.2437
933,933,cheeseburger,327,0.0012464740413204239,0.2422
814,814,speedboat,326,0.0012426621940992606,0.2415
148,148,killer whale,325,0.001238850346878097,0.2407
465,465,bulletproof vest,325,0.001238850346878097,0.2651
773,773,saltshaker,324,0.0012350384996569338,0.24
169,169,borzoi,323,0.0012312266524357703,0.2393
495,495,china cabinet,322,0.001227414805214607,0.2385
284,284,Siamese cat,321,0.0012236029579934435,0.2378
286,286,cougar,321,0.0012236029579934435,0.2378
351,351,hartebeest,319,0.001215979263551117,0.2363
616,616,knot,316,0.0012045437218876267,0.2341
310,310,ant,314,0.0011969200274453,0.2326
629,629,lipstick,313,0.0011931081802241366,0.2319
825,825,stone wall,312,0.0011892963330029733,0.2311
887,887,vestment,312,0.0011892963330029733,0.2311
408,408,amphibian,311,0.0011854844857818098,0.2304
212,212,English setter,310,0.0011816726385606466,0.2296
545,545,electric fan,309,0.001177860791339483,0.2289
150,150,sea lion,307,0.0011702370968971563,0.2274
613,613,joystick,302,0.0011511778607913394,0.2237
490,490,chain mail,301,0.0011473660135701762,0.223
131,131,little blue heron,301,0.0011473660135701762,0.223
790,790,shopping basket,301,0.0011473660135701762,0.223
339,339,sorrel,300,0.0011435541663490127,0.2222
912,912,worm fence,298,0.0011359304719066859,0.2207
747,747,punching bag,298,0.0011359304719066859,0.2298
660,660,mobile home,297,0.0011321186246855226,0.22
797,797,sleeping bag,297,0.0011321186246855226,0.22
682,682,obelisk,296,0.0011283067774643593,0.2193
63,63,Indian cobra,295,0.0011244949302431958,0.2185
521,521,Crock Pot,294,0.0011206830830220325,0.2377
287,287,lynx,294,0.0011206830830220325,0.2178
839,839,suspension bridge,293,0.001116871235800869,0.217
518,518,crash helmet,293,0.001116871235800869,0.217
523,523,crutch,292,0.0011130593885797057,0.2163
788,788,shoe shop,292,0.0011130593885797057,0.2163
126,126,isopod,291,0.0011092475413585422,0.2156
456,456,bow,291,0.0011092475413585422,0.2156
890,890,volleyball,291,0.0011092475413585422,0.2156
922,922,menu,291,0.0011092475413585422,0.2156
753,753,radiator,290,0.001105435694137379,0.2226
143,143,oystercatcher,289,0.0011016238469162157,0.2141
857,857,throne,289,0.0011016238469162157,0.2817
869,869,trench coat,288,0.0010978119996950522,0.2611
803,803,snowplow,286,0.0010901883052527254,0.2119
471,471,cannon,286,0.0010901883052527254,0.2119
432,432,bassoon,284,0.0010825646108103986,0.2104
283,283,Persian cat,283,0.0010787527635892353,0.2096
331,331,hare,282,0.001074940916368072,0.2089
854,854,theater curtain,282,0.001074940916368072,0.2146
534,534,dishwasher,279,0.0010635053747045818,0.2067
870,870,tricycle,275,0.0010482579858199284,0.2037
268,268,Mexican hairless,275,0.0010482579858199284,0.3416
419,419,Band Aid,274,0.001044446138598765,0.203
735,735,poncho,274,0.001044446138598765,0.203
963,963,pizza,274,0.001044446138598765,0.203
467,467,butcher shop,272,0.0010368224441564382,0.2015
99,99,goose,271,0.0010330105969352749,0.2007
785,785,seat belt,271,0.0010330105969352749,0.2007
904,904,window screen,266,0.001013951360829458,0.197
879,879,umbrella,265,0.0010101395136082945,0.1963
112,112,conch,265,0.0010101395136082945,0.1963
328,328,sea urchin,264,0.0010063276663871312,0.1956
228,228,komondor,263,0.0010025158191659677,0.1948
469,469,caldron,263,0.0010025158191659677,0.1948
147,147,grey whale,262,0.0009987039719448045,0.2183
676,676,muzzle,261,0.0009948921247236412,0.2206
727,727,planetarium,260,0.0009910802775024777,0.197
823,823,stethoscope,259,0.0009872684302813144,0.1919
297,297,sloth bear,258,0.000983456583060151,0.1911
110,110,flatworm,258,0.000983456583060151,0.1911
886,886,vending machine,257,0.0009796447358389876,0.1904
313,313,walking stick,256,0.0009758328886178242,0.1896
717,717,pickup,254,0.0009682091941754974,0.1881
566,566,French horn,252,0.0009605854997331707,0.1867
806,806,sock,252,0.0009605854997331707,0.1867
428,428,barrow,252,0.0009605854997331707,0.1867
762,762,restaurant,251,0.0009567736525120073,0.1859
535,535,disk brake,251,0.0009567736525120073,0.1859
765,765,rocking chair,251,0.0009567736525120073,0.1859
703,703,park bench,250,0.000952961805290844,0.1852
615,615,knee pad,249,0.0009491499580696806,0.1844
570,570,gasmask,246,0.0009377144164061904,0.1822
550,550,espresso maker,245,0.000933902569185027,0.2066
697,697,pajama,244,0.0009300907219638636,0.1807
229,229,Old English sheepdog,243,0.0009262788747427004,0.18
965,965,burrito,243,0.0009262788747427004,0.18
285,285,Egyptian cat,242,0.000922467027521537,0.1793
503,503,cocktail shaker,242,0.000922467027521537,0.201
710,710,pencil sharpener,242,0.000922467027521537,0.1793
441,441,beer glass,241,0.0009186551803003736,0.1785
478,478,carton,241,0.0009186551803003736,0.1785
721,721,pillow,241,0.0009186551803003736,0.1785
948,948,Granny Smith,238,0.0009072196386368834,0.1763
617,617,lab coat,234,0.00089197224975223,0.1733
805,805,soccer ball,233,0.0008881604025310666,0.1726
712,712,Petri dish,233,0.0008881604025310666,0.2302
556,556,fire screen,233,0.0008881604025310666,0.1726
199,199,Scotch terrier,233,0.0008881604025310666,0.1726
845,845,syringe,232,0.0008843485553099032,0.1719
470,470,candle,232,0.0008843485553099032,0.1719
826,826,stopwatch,228,0.0008691011664252497,0.2011
