,Class,Count,Count Majority
557,flagpole,3,3
558,flute,6,6
559,folding chair,1,0
560,football helmet,2,2
561,forklift,1,1
562,fountain,3,2
563,fountain pen,6,4
564,four-poster,1,1
565,freight car,1,1
566,French horn,1,1
567,frying pan,10,10
568,fur coat,1,1
569,garbage truck,1,1
570,gasmask,2,2
571,gas pump,2,2
572,goblet,2,2
573,go-kart,2,2
574,golf ball,1,1
575,golfcart,1,1
576,gondola,1,1
577,gong,44,44
578,gown,17,17
579,grand piano,3,3
580,greenhouse,2,2
581,grille,6,5
582,grocery store,12,12
583,guillotine,1,1
584,hair slide,16,16
585,hair spray,8,8
586,half track,1,1
587,hammer,4,4
588,hamper,4,4
589,hand blower,6,6
590,hand-held computer,2,2
591,handkerchief,3,3
592,hard disc,1,1
593,harmonica,5,5
594,harp,1,1
595,harvester,15,15
596,hatchet,10,10
597,holster,1,1
598,home theater,6,6
599,honeycomb,13,13
600,hook,6,6
601,hoopskirt,13,12
602,horizontal bar,10,9
603,horse cart,1,1
604,hourglass,2,1
605,iPod,1,1
606,iron,4,3
607,jack-o'-lantern,3,2
608,jean,1,1
609,jeep,1,1
610,jersey,5,5
611,jigsaw puzzle,1,1
612,jinrikisha,1,1
613,joystick,2,2
614,kimono,2,2
615,knee pad,3,3
616,knot,1,1
617,lab coat,1,1
618,ladle,10,9
619,lampshade,29,29
620,laptop,21,20
621,lawn mower,2,2
622,lens cap,2,1
623,letter opener,8,8
624,library,9,8
625,lifeboat,1,1
626,lighter,4,3
627,limousine,2,2
628,liner,1,1
629,lipstick,4,1
630,Loafer,4,4
631,lotion,11,11
632,loudspeaker,10,8
633,loupe,5,5
634,lumbermill,1,1
635,magnetic compass,1,1
636,mailbag,15,15
637,mailbox,1,1
638,maillot,5,5
639,maillot,19,18
640,manhole cover,1,1
641,maraca,4,3
642,marimba,1,1
643,mask,1,1
644,matchstick,4,4
645,maypole,1,1
646,maze,2,2
647,measuring cup,1,1
648,medicine chest,5,5
649,megalith,2,1
650,microphone,5,5
651,microwave,7,7
652,military uniform,1,1
653,milk can,2,2
654,minibus,7,7
655,miniskirt,6,6
656,minivan,5,5
657,missile,35,35
658,mitten,2,1
659,mixing bowl,3,3
660,mobile home,1,1
661,Model T,1,1
662,modem,5,5
663,monastery,6,6
664,monitor,14,13
665,moped,3,3
666,mortar,3,2
667,mortarboard,19,19
668,mosque,2,2
669,mosquito net,1,1
670,motor scooter,24,24
671,mountain bike,17,17
672,mountain tent,1,1
673,mouse,10,9
674,mousetrap,3,3
675,moving van,2,2
676,muzzle,1,1
677,nail,10,9
678,neck brace,2,2
679,necklace,18,17
680,nipple,5,3
681,notebook,18,18
682,obelisk,2,2
683,oboe,7,7
684,ocarina,6,4
685,odometer,1,1
686,oil filter,4,3
687,organ,1,1
688,oscilloscope,1,1
689,overskirt,14,11
690,oxcart,22,22
691,oxygen mask,4,4
692,packet,8,8
693,paddle,27,27
694,paddlewheel,1,1
695,padlock,7,7
696,paintbrush,6,6
697,pajama,2,1
698,palace,6,6
699,panpipe,1,1
700,paper towel,16,16
701,parachute,1,1
702,parallel bars,16,16
703,park bench,2,2
704,parking meter,3,3
705,passenger car,5,5
706,patio,6,6
707,pay-phone,2,2
708,pedestal,4,4
709,pencil box,10,10
710,pencil sharpener,6,5
711,perfume,2,2
712,Petri dish,2,1
713,photocopier,1,1
714,pick,2,2
715,pickelhaube,3,3
716,picket fence,3,3
717,pickup,1,1
718,pier,13,13
719,piggy bank,1,1
720,pill bottle,2,2
721,pillow,2,2
722,ping-pong ball,2,2
723,pinwheel,2,1
724,pirate,2,2
725,pitcher,14,14
726,plane,4,4
727,planetarium,4,4
728,plastic bag,2,2
729,plate rack,1,1
730,plow,6,5
731,plunger,2,2
732,Polaroid camera,1,1
733,pole,13,12
734,police van,2,2
735,poncho,1,1
736,pool table,1,1
737,pop bottle,6,6
738,pot,1,1
739,potter's wheel,1,1
740,power drill,2,2
741,prayer rug,1,1
742,printer,8,8
743,prison,12,10
744,projectile,23,17
745,projector,5,5
746,puck,3,3
747,punching bag,3,1
748,purse,19,18
749,quill,5,3
750,quilt,5,5
751,racer,19,19
752,racket,16,16
753,radiator,4,1
754,radio,10,10
755,radio telescope,4,4
756,rain barrel,11,11
757,recreational vehicle,1,1
758,reel,6,4
759,reflex camera,10,10
760,refrigerator,2,2
761,remote control,3,3
762,restaurant,4,4
763,revolver,1,1
764,rifle,18,18
765,rocking chair,1,1
766,rotisserie,2,1
767,rubber eraser,16,15
768,rugby ball,4,4
769,rule,1,1
770,running shoe,1,1
771,safe,5,5
772,safety pin,5,4
773,saltshaker,3,3
774,sandal,14,13
775,sarong,1,1
776,sax,4,4
777,scabbard,12,12
778,scale,4,3
779,school bus,1,1
780,schooner,11,11
781,scoreboard,1,1
782,screen,8,7
783,screw,2,1
784,screwdriver,4,4
785,seat belt,3,2
786,sewing machine,1,1
787,shield,5,4
788,shoe shop,3,3
789,shoji,1,1
790,shopping basket,5,5
791,shopping cart,19,19
792,shovel,5,5
793,shower cap,1,1
794,shower curtain,2,2
795,ski,3,3
796,ski mask,6,6
797,sleeping bag,4,4
798,slide rule,1,1
799,sliding door,6,6
800,slot,2,1
801,snorkel,3,3
802,snowmobile,1,1
803,snowplow,1,1
804,soap dispenser,7,7
805,soccer ball,4,4
806,sock,1,1
807,solar dish,2,1
808,sombrero,2,1
809,soup bowl,17,17
810,space bar,22,21
811,space heater,7,7
812,space shuttle,1,1
813,spatula,6,6
814,speedboat,1,1
815,spider web,16,16
816,spindle,1,1
817,sports car,12,12
818,spotlight,10,9
819,stage,10,10
820,steam locomotive,1,1
821,steel arch bridge,3,3
822,steel drum,2,1
823,stethoscope,3,3
824,stole,12,11
825,stone wall,1,1
826,stopwatch,7,7
827,stove,17,15
828,strainer,7,6
829,streetcar,8,8
830,stretcher,3,1
831,studio couch,3,3
832,stupa,1,1
833,submarine,1,1
834,suit,17,16
835,sundial,1,1
836,sunglass,19,18
837,sunglasses,12,12
838,sunscreen,14,14
839,suspension bridge,3,3
840,swab,7,6
841,sweatshirt,3,3
842,swimming trunks,9,9
843,swing,1,1
844,switch,4,4
845,syringe,1,1
846,table lamp,12,11
847,tank,1,1
848,tape player,17,16
849,teapot,11,11
850,teddy,3,3
851,television,9,9
852,tennis ball,9,8
853,thatch,1,1
854,theater curtain,1,1
855,thimble,2,1
856,thresher,11,11
857,throne,1,1
858,tile roof,1,1
859,toaster,1,1
860,tobacco shop,6,5
861,toilet seat,10,10
862,torch,1,1
863,totem pole,7,7
864,tow truck,1,1
865,toyshop,11,10
866,tractor,24,23
867,trailer truck,5,5
868,tray,22,18
869,trench coat,1,1
870,tricycle,2,2
871,trimaran,13,13
872,tripod,1,0
873,triumphal arch,1,1
874,trolleybus,2,1
875,trombone,9,9
876,tub,18,14
877,turnstile,1,1
878,typewriter keyboard,27,24
879,umbrella,2,2
880,unicycle,1,1
881,upright,7,6
882,vacuum,1,1
883,vase,19,19
884,vault,9,9
885,velvet,12,12
886,vending machine,2,1
887,vestment,1,1
888,viaduct,1,1
889,violin,21,21
890,volleyball,1,1
891,waffle iron,4,3
892,wall clock,24,23
893,wallet,21,19
894,wardrobe,4,4
895,warplane,19,19
896,washbasin,12,12
897,washer,1,1
898,water bottle,8,8
899,water jug,6,6
900,water tower,1,1
901,whiskey jug,1,1
902,whistle,1,0
903,wig,1,1
904,window screen,4,4
905,window shade,4,4
906,Windsor tie,5,5
907,wine bottle,20,20
908,wing,5,3
909,wok,12,12
910,wooden spoon,8,8
911,wool,11,11
912,worm fence,2,2
913,wreck,1,1
914,yawl,3,3
915,yurt,1,1
916,web site,1,1
917,comic book,5,4
918,crossword puzzle,2,2
919,street sign,1,1
920,traffic light,2,2
921,book jacket,8,8
922,menu,1,1
923,plate,10,9
924,guacamole,1,1
925,consomme,2,2
926,hot pot,9,9
927,trifle,1,1
928,ice cream,5,5
929,ice lolly,4,1
930,French loaf,3,2
931,bagel,1,1
932,pretzel,1,1
933,cheeseburger,2,2
934,hotdog,1,1
935,mashed potato,5,5
936,head cabbage,1,1
937,broccoli,3,3
938,cauliflower,1,1
939,zucchini,3,3
940,spaghetti squash,2,2
941,acorn squash,2,2
942,butternut squash,2,2
943,cucumber,5,5
944,artichoke,5,5
945,bell pepper,1,1
946,cardoon,14,14
947,mushroom,14,14
948,Granny Smith,2,2
949,strawberry,2,2
950,orange,12,12
951,lemon,4,4
952,fig,1,1
953,pineapple,1,1
954,banana,3,2
955,jackfruit,1,1
956,custard apple,1,1
957,pomegranate,1,1
958,hay,1,1
959,carbonara,1,1
960,chocolate sauce,18,18
961,dough,1,1
962,meat loaf,1,1
963,pizza,3,2
964,potpie,1,1
965,burrito,2,2
966,red wine,10,10
967,espresso,2,2
968,cup,9,8
969,eggnog,3,2
970,alp,10,10
971,bubble,3,1
972,cliff,10,10
973,coral reef,14,14
974,geyser,1,1
975,lakeside,8,8
976,promontory,6,5
977,sandbar,4,4
978,seashore,11,11
979,valley,5,5
980,volcano,1,1
981,ballplayer,22,22
982,groom,10,10
983,scuba diver,8,8
984,rapeseed,1,1
985,daisy,1,1
986,yellow lady's slipper,1,1
987,corn,26,25
