,True Label,True Class,count,Proportion,Coverage
42,42,agama,397,0.0016380117755304972,0.2941
539,539,doormat,395,0.0016297598270391595,0.2926
573,573,go-kart,394,0.0016256338527934908,0.2919
397,397,puffer,393,0.001621507878547822,0.2911
367,367,chimpanzee,391,0.0016132559300564846,0.2896
936,937,broccoli,391,0.0016132559300564846,0.2896
608,609,jeep,388,0.0016008780073194784,0.2874
88,88,macaw,385,0.001588500084582472,0.2852
806,807,solar dish,384,0.0015843741103368032,0.2844
533,533,dishrag,383,0.0015802481360911345,0.2837
65,65,sea snake,381,0.001571996187599797,0.2822
564,564,four-poster,378,0.0015596182648627908,0.28
907,908,wing,377,0.001555492290617122,0.2793
447,447,binoculars,377,0.001555492290617122,0.2793
879,880,unicycle,376,0.0015513663163714531,0.2785
136,136,European gallinule,371,0.0015307364451431094,0.2748
928,929,ice lolly,369,0.001522484496651772,0.2733
114,114,slug,367,0.0015142325481604345,0.2719
75,75,black widow,364,0.001501854625423428,0.2696
842,843,swing,361,0.0014894767026864218,0.2674
580,580,greenhouse,360,0.0014853507284407531,0.2667
771,772,safety pin,359,0.0014812247541950844,0.2743
636,637,mailbox,358,0.0014770987799494156,0.2652
214,214,Gordon setter,358,0.0014770987799494156,0.2652
223,223,schipperke,355,0.0014647208572124092,0.263
433,433,bathing cap,351,0.0014482169602297343,0.26
718,719,piggy bank,351,0.0014482169602297343,0.26
384,384,indri,347,0.001431713063247059,0.257
683,684,ocarina,344,0.001419335140510053,0.2548
335,335,fox squirrel,343,0.0014152091662643842,0.2731
667,668,mosque,340,0.001402831243527378,0.2519
569,569,garbage truck,338,0.0013945792950360405,0.2504
995,996,hen-of-the-woods,337,0.0013904533207903715,0.2496
113,113,snail,337,0.0013904533207903715,0.2496
728,729,plate rack,337,0.0013904533207903715,0.3055
579,579,grand piano,333,0.0013739494238076966,0.2467
314,314,cockroach,329,0.0013574455268250216,0.2437
932,933,cheeseburger,327,0.001349193578333684,0.2422
813,814,speedboat,326,0.0013450676040880152,0.2415
148,148,killer whale,325,0.0013409416298423465,0.2407
772,773,saltshaker,324,0.0013368156555966777,0.24
465,465,bulletproof vest,324,0.0013368156555966777,0.2643
169,169,borzoi,323,0.001332689681351009,0.2393
495,495,china cabinet,322,0.0013285637071053403,0.2385
284,284,Siamese cat,321,0.0013244377328596715,0.2378
286,286,cougar,321,0.0013244377328596715,0.2378
615,616,knot,316,0.0013038078616313276,0.2341
310,310,ant,313,0.0012914299388943214,0.2319
886,887,vestment,312,0.0012873039646486527,0.2311
824,825,stone wall,312,0.0012873039646486527,0.2311
628,629,lipstick,310,0.0012790520161573152,0.2296
212,212,English setter,310,0.0012790520161573152,0.2296
545,545,electric fan,308,0.0012708000676659777,0.2281
150,150,sea lion,307,0.0012666740934203088,0.2274
789,790,shopping basket,302,0.001246044222191965,0.2237
612,613,joystick,302,0.001246044222191965,0.2237
490,490,chain mail,301,0.0012419182479462964,0.223
131,131,little blue heron,301,0.0012419182479462964,0.223
339,339,sorrel,300,0.0012377922737006276,0.2222
911,912,worm fence,298,0.00122954032520929,0.2207
659,660,mobile home,297,0.0012254143509636212,0.22
796,797,sleeping bag,297,0.0012254143509636212,0.22
681,682,obelisk,296,0.0012212883767179525,0.2193
63,63,Indian cobra,295,0.0012171624024722837,0.2185
287,287,lynx,294,0.001213036428226615,0.2178
912,913,wreck,294,0.001213036428226615,0.2178
521,521,Crock Pot,294,0.001213036428226615,0.2377
838,839,suspension bridge,293,0.0012089104539809463,0.217
518,518,crash helmet,293,0.0012089104539809463,0.217
523,523,crutch,292,0.0012047844797352775,0.2163
787,788,shoe shop,291,0.0012006585054896088,0.2156
921,922,menu,291,0.0012006585054896088,0.2156
126,126,isopod,291,0.0012006585054896088,0.2156
456,456,bow,290,0.00119653253124394,0.2148
143,143,oystercatcher,289,0.0011924065569982713,0.2141
856,857,throne,289,0.0011924065569982713,0.2817
868,869,trench coat,288,0.0011882805827526024,0.2611
315,315,mantis,288,0.0011882805827526024,0.2133
802,803,snowplow,286,0.0011800286342612649,0.2119
471,471,cannon,286,0.0011800286342612649,0.2119
432,432,bassoon,284,0.0011717766857699274,0.2104
283,283,Persian cat,283,0.0011676507115242587,0.2096
853,854,theater curtain,282,0.00116352473727859,0.2146
331,331,hare,282,0.00116352473727859,0.2089
746,747,punching bag,281,0.0011593987630329212,0.2167
534,534,dishwasher,279,0.0011511468145415837,0.2067
869,870,tricycle,275,0.0011346429175589086,0.2037
268,268,Mexican hairless,275,0.0011346429175589086,0.3416
734,735,poncho,274,0.0011305169433132398,0.203
419,419,Band Aid,274,0.0011305169433132398,0.203
962,963,pizza,273,0.001126390969067571,0.2022
467,467,butcher shop,272,0.0011222649948219024,0.2015
99,99,goose,271,0.0011181390205762336,0.2007
784,785,seat belt,271,0.0011181390205762336,0.2007
903,904,window screen,266,0.0010975091493478897,0.197
112,112,conch,265,0.001093383175102221,0.1963
878,879,umbrella,265,0.001093383175102221,0.1963
328,328,sea urchin,264,0.0010892572008565523,0.1956
469,469,caldron,263,0.0010851312266108835,0.1948
147,147,grey whale,262,0.0010810052523652148,0.2183
675,676,muzzle,261,0.001076879278119546,0.2206
408,408,amphibian,260,0.0010727533038738773,0.1926
726,727,planetarium,260,0.0010727533038738773,0.197
822,823,stethoscope,259,0.0010686273296282084,0.1919
297,297,sloth bear,258,0.0010645013553825396,0.1911
313,313,walking stick,256,0.0010562494068912021,0.1896
885,886,vending machine,256,0.0010562494068912021,0.1896
716,717,pickup,254,0.0010479974583998647,0.1881
805,806,sock,252,0.0010397455099085272,0.1867
566,566,French horn,252,0.0010397455099085272,0.1867
428,428,barrow,252,0.0010397455099085272,0.1867
761,762,restaurant,251,0.0010356195356628585,0.1859
764,765,rocking chair,251,0.0010356195356628585,0.1859
702,703,park bench,250,0.0010314935614171897,0.1852
614,615,knee pad,249,0.0010273675871715208,0.1844
752,753,radiator,249,0.0010273675871715208,0.1911
550,550,espresso maker,245,0.0010108636901888458,0.2066
964,965,burrito,243,0.0010026117416975084,0.18
696,697,pajama,243,0.0010026117416975084,0.18
503,503,cocktail shaker,242,0.0009984857674518396,0.201
441,441,beer glass,241,0.0009943597932061709,0.1785
720,721,pillow,241,0.0009943597932061709,0.1785
478,478,carton,239,0.0009861078447148332,0.177
947,948,Granny Smith,238,0.0009819818704691645,0.1763
616,617,lab coat,234,0.0009654779734864895,0.1733
711,712,Petri dish,233,0.0009613519992408208,0.2302
804,805,soccer ball,233,0.0009613519992408208,0.1726
844,845,syringe,232,0.0009572260249951519,0.1719
556,556,fire screen,232,0.0009572260249951519,0.1719
470,470,candle,231,0.0009531000507494832,0.1711
199,199,Scotch terrier,231,0.0009531000507494832,0.1711
121,121,king crab,228,0.000940722128012477,0.1689
825,826,stopwatch,226,0.0009324701795211394,0.1993
553,553,file,226,0.0009324701795211394,0.1674
178,178,Weimaraner,226,0.0009324701795211394,0.1674
228,228,komondor,224,0.0009242182310298019,0.1659
889,890,volleyball,223,0.0009200922567841332,0.1652
589,590,hand-held computer,220,0.0009077143340471269,0.203
690,691,oxygen mask,219,0.0009035883598014581,0.1622
938,939,zucchini,216,0.0008912104370644518,0.16
457,457,bow tie,215,0.0008870844628187831,0.1593
588,589,hand blower,215,0.0008870844628187831,0.1593
210,210,German short-haired pointer,215,0.0008870844628187831,0.1593
935,936,head cabbage,214,0.0008829584885731144,0.1585
646,647,measuring cup,214,0.0008829584885731144,0.1585
930,931,bagel,214,0.0008829584885731144,0.1585
881,882,vacuum,213,0.0008788325143274456,0.1578
685,686,oil filter,209,0.0008623286173447706,0.1786
251,251,dalmatian,209,0.0008623286173447706,0.1548
744,745,projector,208,0.0008582026430991018,0.1541
530,530,digital clock,208,0.0008582026430991018,0.1541
843,844,switch,207,0.000854076668853433,0.1533
607,608,jean,204,0.0008416987461164268,0.1511
395,395,gar,204,0.0008416987461164268,0.1511
562,562,fountain,201,0.0008293208233794205,0.1489
668,669,mosquito net,200,0.0008251948491337517,0.1481
425,425,barn,198,0.0008169429006424142,0.1467
788,789,shoji,196,0.0008086909521510767,0.1509
590,591,handkerchief,196,0.0008086909521510767,0.1452
459,459,brassiere,194,0.0008004390036597392,0.1437
730,731,plunger,194,0.0008004390036597392,0.1488
777,778,scale,192,0.0007921870551684016,0.1422
640,641,maraca,192,0.0007921870551684016,0.1422
756,757,recreational vehicle,190,0.0007839351066770641,0.1407
551,551,face powder,187,0.0007715571839400578,0.1554
632,633,loupe,185,0.0007633052354487203,0.137
247,247,Saint Bernard,185,0.0007633052354487203,0.137
863,864,tow truck,184,0.0007591792612030516,0.1363
706,707,pay-phone,183,0.0007550532869573828,0.1356
365,365,orangutan,182,0.000750927312711714,0.1348
862,863,totem pole,181,0.0007468013384660453,0.1341
620,621,lawn mower,179,0.0007385493899747078,0.1326
602,603,horse cart,178,0.000734423415729039,0.1319
782,783,screw,177,0.0007302974414833702,0.1311
968,969,eggnog,176,0.0007261714672377015,0.1416
163,163,bloodhound,171,0.0007055415960093577,0.1267
462,462,broom,171,0.0007055415960093577,0.1267
234,234,Rottweiler,171,0.0007055415960093577,0.1267
14,14,indigo bunting,171,0.0007055415960093577,0.1267
507,507,combination lock,170,0.000701415621763689,0.1343
535,535,disk brake,170,0.000701415621763689,0.1259
634,635,magnetic compass,169,0.0006972896475180202,0.1402
672,673,mouse,168,0.0006931636732723514,0.1244
333,333,hamster,167,0.0006890376990266827,0.1237
597,598,home theater,164,0.0006766597762896764,0.1215
434,434,bath towel,164,0.0006766597762896764,0.1215
399,399,abaya,162,0.0006684078277983389,0.12
633,634,lumbermill,161,0.0006642818535526701,0.1193
329,329,sea cucumber,156,0.0006436519823243263,0.1156
