,True Label,True Class,count,Proportion,Coverage
629,864,tow truck,184,0.0007911834642655969,0.1363
164,247,Saint Bernard,184,0.0007911834642655969,0.1363
500,707,pay-phone,181,0.0007782837338699621,0.1341
242,365,orangutan,180,0.0007739838237380838,0.1333
448,633,loupe,180,0.0007739838237380838,0.1333
438,621,lawn mower,178,0.0007653840034743274,0.1319
424,603,horse cart,177,0.0007610840933424491,0.1311
564,783,screw,177,0.0007610840933424491,0.1311
712,969,eggnog,175,0.0007524842730786927,0.1408
628,863,totem pole,172,0.0007395845426830579,0.1274
157,234,Rottweiler,170,0.0007309847224193014,0.1259
11,14,indigo bunting,170,0.0007309847224193014,0.1259
351,507,combination lock,170,0.0007309847224193014,0.1343
120,163,bloodhound,169,0.0007266848122874232,0.1252
450,635,magnetic compass,169,0.0007266848122874232,0.1402
370,535,disk brake,167,0.0007180849920236667,0.1237
313,462,broom,166,0.0007137850818917885,0.123
218,333,hamster,165,0.0007094851717599103,0.1222
292,434,bath towel,162,0.0006965854413642755,0.12
449,634,lumbermill,161,0.0006922855312323972,0.1193
421,598,home theater,158,0.0006793858008367625,0.117
473,673,mouse,158,0.0006793858008367625,0.117
266,399,abaya,156,0.0006707859805730061,0.1156
7,10,brambling,155,0.0006664860704411277,0.1148
503,711,perfume,155,0.0006664860704411277,0.1148
346,499,cleaver,153,0.0006578862501773713,0.137
455,643,mask,153,0.0006578862501773713,0.1133
215,329,sea cucumber,152,0.000653586340045493,0.1126
700,954,banana,148,0.0006363866995179801,0.1096
657,901,whiskey jug,146,0.0006277868792542235,0.1321
660,905,window shade,146,0.0006277868792542235,0.1081
391,559,folding chair,146,0.0006277868792542235,0.1081
479,680,nipple,144,0.0006191870589904671,0.1067
603,830,stretcher,144,0.0006191870589904671,0.1067
130,182,Border terrier,143,0.0006148871488585888,0.1059
576,795,ski,142,0.0006105872387267106,0.1052
209,323,monarch,141,0.0006062873285948324,0.1044
121,164,bluetick,141,0.0006062873285948324,0.1189
79,110,flatworm,140,0.0006019874184629541,0.1037
359,519,crate,140,0.0006019874184629541,0.1037
221,336,marmot,139,0.0005976875083310759,0.103
194,303,long-horned beetle,139,0.0005976875083310759,0.103
387,555,fire engine,138,0.0005933875981991977,0.1022
490,696,paintbrush,137,0.0005890876880673193,0.1015
282,422,barbell,136,0.0005847877779354411,0.1007
575,794,shower curtain,136,0.0005847877779354411,0.1007
339,492,chest,135,0.0005804878678035629,0.1
248,374,langur,134,0.0005761879576716847,0.0993
604,831,studio couch,133,0.0005718880475398064,0.0985
222,337,beaver,133,0.0005718880475398064,0.0985
442,626,lighter,132,0.0005675881374079282,0.0978
119,160,Afghan hound,130,0.0005589883171441717,0.0963
420,597,holster,130,0.0005589883171441717,0.0963
596,821,steel arch bridge,125,0.0005374887664847805,0.1039
543,758,reel,123,0.000528888946221024,0.0911
658,903,wig,123,0.000528888946221024,0.0911
377,544,Dutch oven,123,0.000528888946221024,0.0911
558,775,sarong,122,0.0005245890360891458,0.0904
176,271,red wolf,122,0.0005245890360891458,0.0904
168,255,Leonberg,121,0.0005202891259572675,0.0896
