,Class,Count,Count Majority
580,greenhouse,1,1
581,grille,1,1
582,grocery store,0,0
583,guillotine,1,1
584,hair slide,1,1
585,hair spray,0,0
586,half track,0,0
587,hammer,0,0
588,hamper,1,1
589,hand blower,1,1
590,hand-held computer,0,0
591,handkerchief,1,1
592,hard disc,1,1
593,harmonica,1,1
594,harp,1,1
595,harvester,0,0
596,hatchet,0,0
597,holster,0,0
598,home theater,0,0
599,honeycomb,0,0
600,hook,0,0
601,hoopskirt,0,0
602,horizontal bar,0,0
603,horse cart,1,1
604,hourglass,2,1
605,iPod,1,1
606,iron,1,1
607,jack-o'-lantern,2,1
608,jean,1,1
609,jeep,1,1
610,jersey,0,0
611,jigsaw puzzle,1,1
612,jinrikisha,1,1
613,joystick,1,1
614,kimono,1,1
615,knee pad,1,1
616,knot,0,0
617,lab coat,1,1
618,ladle,0,0
619,lampshade,0,0
620,laptop,0,0
621,lawn mower,1,1
622,lens cap,1,1
623,letter opener,0,0
624,library,1,1
625,lifeboat,1,1
626,lighter,1,1
627,limousine,1,1
628,liner,0,0
629,lipstick,1,1
630,Loafer,1,1
631,lotion,0,0
632,loudspeaker,0,0
633,loupe,1,1
634,lumbermill,1,1
635,magnetic compass,1,1
636,mailbag,0,0
637,mailbox,3,3
638,maillot,0,0
639,maillot,0,0
640,manhole cover,1,1
641,maraca,1,1
642,marimba,1,1
643,mask,1,1
644,matchstick,1,1
645,maypole,1,1
646,maze,1,1
647,measuring cup,0,0
648,medicine chest,0,0
649,megalith,1,1
650,microphone,1,1
651,microwave,0,0
652,military uniform,0,0
653,milk can,1,1
654,minibus,0,0
655,miniskirt,0,0
656,minivan,0,0
657,missile,0,0
658,mitten,1,1
659,mixing bowl,1,1
660,mobile home,0,0
661,Model T,1,1
662,modem,0,0
663,monastery,0,0
664,monitor,0,0
665,moped,0,0
666,mortar,2,1
667,mortarboard,0,0
668,mosque,1,1
669,mosquito net,1,1
670,motor scooter,0,0
671,mountain bike,0,0
672,mountain tent,1,1
673,mouse,1,1
674,mousetrap,1,1
675,moving van,0,0
676,muzzle,1,1
677,nail,0,0
678,neck brace,2,2
679,necklace,0,0
680,nipple,2,1
681,notebook,0,0
682,obelisk,1,1
683,oboe,0,0
684,ocarina,2,2
685,odometer,1,1
686,oil filter,1,1
687,organ,1,1
688,oscilloscope,1,1
689,overskirt,0,0
690,oxcart,1,1
691,oxygen mask,2,2
692,packet,0,0
693,paddle,0,0
694,paddlewheel,1,1
695,padlock,2,2
696,paintbrush,1,1
697,pajama,1,1
698,palace,0,0
699,panpipe,1,1
700,paper towel,1,1
701,parachute,1,1
702,parallel bars,0,0
703,park bench,1,1
704,parking meter,1,1
705,passenger car,1,1
706,patio,1,1
707,pay-phone,1,1
708,pedestal,1,1
709,pencil box,0,0
710,pencil sharpener,2,1
711,perfume,1,1
712,Petri dish,2,1
713,photocopier,0,0
714,pick,1,1
715,pickelhaube,1,1
716,picket fence,0,0
717,pickup,0,0
718,pier,0,0
719,piggy bank,1,1
720,pill bottle,1,1
721,pillow,1,1
722,ping-pong ball,1,1
723,pinwheel,1,1
724,pirate,1,1
725,pitcher,0,0
726,plane,1,1
727,planetarium,0,0
728,plastic bag,1,1
729,plate rack,1,1
730,plow,1,1
731,plunger,1,1
732,Polaroid camera,2,2
733,pole,1,1
734,police van,1,1
735,poncho,1,1
736,pool table,1,1
737,pop bottle,0,0
738,pot,1,1
739,potter's wheel,1,1
740,power drill,1,1
741,prayer rug,1,1
742,printer,0,0
743,prison,0,0
744,projectile,0,0
745,projector,1,1
746,puck,2,2
747,punching bag,1,1
748,purse,0,0
749,quill,1,1
750,quilt,1,1
751,racer,1,1
752,racket,1,1
753,radiator,1,1
754,radio,0,0
755,radio telescope,1,1
756,rain barrel,1,1
757,recreational vehicle,0,0
758,reel,1,1
759,reflex camera,0,0
760,refrigerator,0,0
761,remote control,0,0
762,restaurant,1,1
763,revolver,1,1
764,rifle,0,0
765,rocking chair,1,1
766,rotisserie,2,1
767,rubber eraser,1,1
768,rugby ball,1,1
769,rule,1,1
770,running shoe,1,1
771,safe,2,2
772,safety pin,2,2
773,saltshaker,1,1
774,sandal,2,1
775,sarong,0,0
776,sax,0,0
777,scabbard,0,0
778,scale,2,2
779,school bus,1,1
780,schooner,0,0
781,scoreboard,1,1
782,screen,1,1
783,screw,1,1
784,screwdriver,1,1
785,seat belt,1,1
786,sewing machine,1,1
787,shield,2,1
788,shoe shop,1,1
789,shoji,1,1
790,shopping basket,1,1
791,shopping cart,0,0
792,shovel,2,2
793,shower cap,2,2
794,shower curtain,1,1
795,ski,0,0
796,ski mask,0,0
797,sleeping bag,1,1
798,slide rule,1,1
799,sliding door,0,0
800,slot,1,1
801,snorkel,0,0
802,snowmobile,1,1
803,snowplow,1,1
804,soap dispenser,0,0
805,soccer ball,1,1
806,sock,1,1
807,solar dish,2,1
808,sombrero,0,0
809,soup bowl,0,0
810,space bar,0,0
811,space heater,1,1
812,space shuttle,1,1
813,spatula,1,1
814,speedboat,0,0
815,spider web,0,0
816,spindle,1,1
817,sports car,0,0
818,spotlight,0,0
819,stage,0,0
820,steam locomotive,1,1
821,steel arch bridge,0,0
822,steel drum,2,1
823,stethoscope,1,1
824,stole,0,0
825,stone wall,1,1
826,stopwatch,1,1
827,stove,0,0
828,strainer,2,2
829,streetcar,0,0
830,stretcher,3,2
831,studio couch,1,1
832,stupa,1,1
833,submarine,1,1
834,suit,0,0
835,sundial,1,1
836,sunglass,0,0
837,sunglasses,0,0
838,sunscreen,0,0
839,suspension bridge,2,2
840,swab,1,1
841,sweatshirt,1,1
842,swimming trunks,1,1
843,swing,1,1
844,switch,1,1
845,syringe,1,1
846,table lamp,0,0
847,tank,0,0
848,tape player,0,0
849,teapot,0,0
850,teddy,1,1
851,television,1,1
852,tennis ball,1,1
853,thatch,1,1
854,theater curtain,1,1
855,thimble,1,1
856,thresher,0,0
857,throne,1,1
858,tile roof,1,1
859,toaster,1,1
860,tobacco shop,0,0
861,toilet seat,0,0
862,torch,1,1
863,totem pole,1,1
864,tow truck,1,1
865,toyshop,1,1
866,tractor,0,0
867,trailer truck,0,0
868,tray,3,2
869,trench coat,1,1
870,tricycle,1,1
871,trimaran,1,1
872,tripod,1,1
873,triumphal arch,1,1
874,trolleybus,1,1
875,trombone,0,0
876,tub,1,1
877,turnstile,1,1
878,typewriter keyboard,0,0
879,umbrella,1,1
880,unicycle,1,1
881,upright,0,0
882,vacuum,1,1
883,vase,0,0
884,vault,0,0
885,velvet,0,0
886,vending machine,1,1
887,vestment,1,1
888,viaduct,1,1
889,violin,1,1
890,volleyball,1,1
891,waffle iron,1,1
892,wall clock,0,0
893,wallet,0,0
894,wardrobe,2,2
895,warplane,0,0
896,washbasin,0,0
897,washer,1,1
898,water bottle,1,1
899,water jug,0,0
900,water tower,1,1
901,whiskey jug,1,1
902,whistle,2,1
903,wig,1,1
904,window screen,1,1
905,window shade,0,0
906,Windsor tie,0,0
907,wine bottle,0,0
908,wing,1,1
909,wok,0,0
910,wooden spoon,0,0
911,wool,1,1
912,worm fence,1,1
913,wreck,1,1
914,yawl,0,0
915,yurt,1,1
916,web site,1,1
917,comic book,0,0
918,crossword puzzle,1,1
919,street sign,1,1
920,traffic light,1,1
921,book jacket,0,0
922,menu,0,0
923,plate,0,0
924,guacamole,1,1
925,consomme,1,1
926,hot pot,0,0
927,trifle,1,1
928,ice cream,1,1
929,ice lolly,3,1
930,French loaf,0,0
931,bagel,1,1
932,pretzel,1,1
933,cheeseburger,1,1
934,hotdog,1,1
935,mashed potato,1,1
936,head cabbage,1,1
937,broccoli,1,1
938,cauliflower,1,1
939,zucchini,1,1
940,spaghetti squash,1,1
941,acorn squash,2,2
942,butternut squash,1,1
943,cucumber,1,1
944,artichoke,1,1
945,bell pepper,1,1
946,cardoon,0,0
947,mushroom,0,0
948,Granny Smith,1,1
949,strawberry,1,1
950,orange,0,0
951,lemon,0,0
952,fig,1,1
953,pineapple,1,1
954,banana,1,1
955,jackfruit,1,1
956,custard apple,1,1
957,pomegranate,1,1
958,hay,1,1
959,carbonara,1,1
960,chocolate sauce,0,0
961,dough,0,0
962,meat loaf,1,1
963,pizza,1,1
964,potpie,1,1
965,burrito,1,1
966,red wine,0,0
967,espresso,0,0
968,cup,0,0
969,eggnog,1,1
970,alp,0,0
971,bubble,2,1
972,cliff,2,2
973,coral reef,0,0
974,geyser,1,1
975,lakeside,0,0
976,promontory,0,0
