,True Label,True Class,count,Proportion,Coverage
610,612,jinrikisha,616,0.002387356312929705,0.4563
261,261,keeshond,613,0.0023757295776394628,0.4541
326,326,lycaenid,613,0.0023757295776394628,0.4541
947,952,fig,612,0.002371853999209382,0.4533
702,704,parking meter,611,0.0023679784207793013,0.4526
97,97,drake,610,0.0023641028423492206,0.4519
296,296,ice bear,610,0.0023641028423492206,0.4519
293,293,cheetah,610,0.0023641028423492206,0.4519
107,107,jellyfish,608,0.002356351685489059,0.4504
766,768,rugby ball,608,0.002356351685489059,0.4504
939,944,artichoke,606,0.0023486005286288978,0.4489
334,334,porcupine,606,0.0023486005286288978,0.4489
915,920,traffic light,604,0.0023408493717687363,0.4474
220,220,Sussex spaniel,602,0.002333098214908575,0.4459
69,69,trilobite,602,0.002333098214908575,0.4459
500,500,cliff dwelling,601,0.0023292226364784946,0.4452
986,991,coral fungus,601,0.0023292226364784946,0.4452
308,308,fly,599,0.002321471479618333,0.4437
744,746,puck,597,0.0023137203227581718,0.4422
737,739,potter's wheel,595,0.0023059691658980103,0.4407
721,723,pinwheel,593,0.002298218009037849,0.5081
747,749,quill,590,0.0022865912737476068,0.437
984,989,hip,590,0.0022865912737476068,0.437
969,974,geyser,590,0.0022865912737476068,0.437
146,146,albatross,587,0.0022749645384573646,0.4348
455,455,bottlecap,587,0.0022749645384573646,0.4348
18,18,magpie,584,0.002263337803167123,0.4326
853,855,thimble,583,0.002259462224737042,0.4319
647,649,megalith,581,0.0022517110678768808,0.4304
149,149,dugong,580,0.0022478354894468,0.4296
451,451,bolo tie,579,0.0022439599110167193,0.4289
362,362,badger,578,0.0022400843325866386,0.4281
623,625,lifeboat,575,0.0022284575972963965,0.4259
966,971,bubble,574,0.0022245820188663157,0.4252
985,990,buckeye,572,0.0022168308620061543,0.4237
17,17,jay,571,0.0022129552835760736,0.423
260,260,chow,570,0.002209079705145993,0.4222
910,915,yurt,565,0.0021897018129955897,0.4185
856,858,tile roof,565,0.0021897018129955897,0.4185
1,1,goldfish,562,0.0021780750777053476,0.4163
104,104,wallaby,560,0.002170323920845186,0.4148
420,420,banjo,559,0.0021664483424151055,0.4141
814,816,spindle,558,0.0021625727639850247,0.4133
784,786,sewing machine,558,0.0021625727639850247,0.4133
936,941,acorn squash,557,0.002158697185554944,0.4126
106,106,wombat,555,0.0021509460286947826,0.4111
584,586,half track,555,0.0021509460286947826,0.4111
525,525,dam,553,0.002143194871834621,0.4096
818,820,steam locomotive,553,0.002143194871834621,0.4096
686,688,oscilloscope,547,0.0021199414012541373,0.4052
990,995,earthstar,546,0.0021160658228240566,0.4044
860,862,torch,546,0.0021160658228240566,0.4044
989,994,stinkhorn,546,0.0021160658228240566,0.4044
570,571,gas pump,545,0.002112190244393976,0.4037
78,78,tick,543,0.0021044390875338144,0.4022
439,439,bearskin,542,0.0021005635091037337,0.4305
350,350,ibex,540,0.0020928123522435723,0.4
93,93,hornbill,539,0.0020889367738134916,0.3993
983,988,acorn,539,0.0020889367738134916,0.3993
791,793,shower cap,539,0.0020889367738134916,0.3993
429,429,baseball,539,0.0020889367738134916,0.3993
833,835,sundial,538,0.002085061195383411,0.3985
768,770,running shoe,538,0.002085061195383411,0.3985
22,22,bald eagle,538,0.002085061195383411,0.3985
919,924,guacamole,538,0.002085061195383411,0.3985
670,672,mountain tent,533,0.0020656833032330077,0.3948
116,116,chiton,532,0.002061807724802927,0.3941
138,138,bustard,528,0.002046305411082604,0.3911
496,496,Christmas stocking,526,0.0020385542542224427,0.3896
317,317,leafhopper,524,0.0020308030973622813,0.3881
120,120,fiddler crab,523,0.0020269275189322006,0.3874
111,111,nematode,522,0.00202305194050212,0.3867
590,592,hard disc,519,0.0020114252052118777,0.3844
262,262,Brabancon griffon,518,0.002007549626781797,0.4625
338,338,guinea pig,517,0.0020036740483517163,0.383
705,707,pay-phone,517,0.0020036740483517163,0.383
800,802,snowmobile,516,0.001999798469921636,0.3822
676,678,neck brace,513,0.001988171734631394,0.4171
325,325,sulphur butterfly,509,0.001972669420911071,0.377
309,309,bee,508,0.0019687938424809903,0.3763
253,253,basenji,506,0.001961042685620829,0.3748
664,666,mortar,504,0.0019532915287606674,0.3733
53,53,ringneck snake,502,0.0019455403719005062,0.3719
294,294,brown bear,502,0.0019455403719005062,0.3719
466,466,bullet train,498,0.0019300380581801833,0.3689
697,699,panpipe,498,0.0019300380581801833,0.3689
480,480,cash machine,496,0.001922286901320022,0.3674
448,448,birdhouse,495,0.0019184113228899414,0.3667
347,347,bison,495,0.0019184113228899414,0.3667
306,306,rhinoceros beetle,495,0.0019184113228899414,0.3667
887,891,waffle iron,494,0.0019145357444598607,0.4162
514,514,cowboy boot,492,0.0019067845875996993,0.3644
672,674,mousetrap,490,0.0018990334307395378,0.363
422,422,barbell,490,0.0018990334307395378,0.363
922,927,trifle,487,0.0018874066954492957,0.3607
458,458,brass,487,0.0018874066954492957,0.3607
739,741,prayer rug,486,0.0018835311170192152,0.36
591,593,harmonica,484,0.0018757799601590538,0.3585
764,766,rotisserie,484,0.0018757799601590538,0.3585
103,103,platypus,483,0.001871904381728973,0.3654
332,332,Angora,481,0.0018641532248688116,0.3563
