,Class,Count,Count Majority,Count Homogeneous
294,brown bear,3,3,3
295,American black bear,8,8,8
296,ice bear,1,1,1
297,sloth bear,1,1,1
298,mongoose,1,1,1
299,meerkat,33,33,33
300,tiger beetle,14,14,14
301,ladybug,22,22,22
302,ground beetle,6,6,6
303,long-horned beetle,3,3,3
304,leaf beetle,8,8,8
305,dung beetle,3,3,3
306,rhinoceros beetle,1,1,1
307,weevil,1,1,1
308,fly,1,1,1
309,bee,2,2,2
310,ant,2,2,2
311,grasshopper,30,30,30
312,cricket,18,18,18
313,walking stick,1,1,1
314,cockroach,1,1,1
315,mantis,2,2,2
316,cicada,1,1,1
317,leafhopper,1,1,1
318,lacewing,1,1,1
319,dragonfly,21,21,21
320,damselfly,15,15,15
321,admiral,1,1,1
322,ringlet,2,2,2
323,monarch,2,2,2
324,cabbage butterfly,1,1,1
325,sulphur butterfly,1,1,1
326,lycaenid,1,1,1
327,starfish,1,1,1
328,sea urchin,2,2,2
329,sea cucumber,4,3,3
330,wood rabbit,14,14,14
331,hare,1,1,1
332,Angora,1,1,1
333,hamster,2,2,2
334,porcupine,1,1,1
335,fox squirrel,1,1,1
336,marmot,2,2,2
337,beaver,3,3,3
338,guinea pig,1,1,1
339,sorrel,1,1,1
340,zebra,1,1,1
341,hog,2,2,2
342,wild boar,25,25,25
343,warthog,10,10,10
344,hippopotamus,2,1,1
345,ox,13,13,13
346,water buffalo,10,10,10
347,bison,1,1,1
348,ram,18,18,18
349,bighorn,20,20,20
350,ibex,1,1,1
351,hartebeest,2,2,2
352,impala,18,18,18
353,gazelle,10,10,10
354,Arabian camel,1,1,1
355,llama,1,1,1
356,weasel,16,16,16
357,mink,15,15,15
358,polecat,8,8,8
359,black-footed ferret,24,24,24
360,otter,3,3,3
361,skunk,2,1,1
362,badger,1,1,1
363,armadillo,1,1,1
364,three-toed sloth,2,1,1
365,orangutan,3,2,2
366,gorilla,3,3,3
367,chimpanzee,1,1,1
368,gibbon,11,11,11
369,siamang,15,15,15
370,guenon,4,4,4
371,patas,4,4,4
372,baboon,6,6,6
373,macaque,10,10,10
374,langur,8,8,8
