dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
cifar,trainUval,vgg,20,102,a1,0.0,0.0,19.492852069436644,0.98626,0.8952
cifar,trainUval,vgg,20,128,a1,0.0,0.0,19.11010423302372,0.99948,0.9131
cifar,trainUval,vgg,20,153,a1,0.0,0.0,14.180946230935433,0.95688,0.8759
cifar,trainUval,vgg,20,179,a1,0.0,0.0,15.734664812684287,0.98162,0.8936
cifar,trainUval,vgg,20,22,a1,0.0,0.0,15.386375808652822,0.92584,0.8643
cifar,trainUval,vgg,20,48,a1,0.0,0.0,16.021386615939285,0.96454,0.8823
cifar,trainUval,vgg,20,73,a1,0.0,0.0,18.34564609851867,0.95194,0.8729
cifar,trainUval,vgg,20,99,a1,0.0,0.0,15.478181555865383,0.98558,0.8957
cifar,val,vgg,20,123,a1,0.0,0.0,17.639852140069102,0.99922,0.9126
cifar,val,vgg,20,149,a1,0.0,0.0,19.101143836971424,0.99998,0.9164
cifar,val,vgg,20,174,a1,0.0,0.0,14.004646792093595,0.98182,0.8905
cifar,val,vgg,20,19,a1,0.0,0.0,12.456168919341465,0.8968,0.8475
cifar,val,vgg,20,43,a1,0.0,0.0,14.654211528625794,0.94388,0.8703
cifar,val,vgg,20,69,a1,0.0,0.0,21.493623077869415,0.99844,0.9075
cifar,val,vgg,20,94,a1,0.0,0.0,16.847584731888226,0.9822,0.8927
mnist,train,vgg,20,119,a1,0.0,0.0,11.46763340708226,0.9990666666666667,0.983
mnist,train,vgg,20,144,a1,0.0,0.0,10.267798978100465,0.9996166666666667,0.984
mnist,train,vgg,20,16,a1,0.0,0.0,15.236734303090657,0.94005,0.9389
mnist,train,vgg,20,195,a1,0.0,0.0,3.9676687317191863,0.9995333333333334,0.9824
mnist,train,vgg,20,39,a1,0.0,0.0,14.110120187795502,0.9799166666666667,0.9754
mnist,train,vgg,20,64,a1,0.0,0.0,16.44957906762484,0.9923,0.981
mnist,train,vgg,20,8,a1,0.0,0.0,16.897888548934134,0.8149,0.8243
mnist,trainUval,vgg,20,114,a1,0.0,0.0,13.728012821100755,0.9982833333333333,0.9843
mnist,trainUval,vgg,20,13,a1,0.0,0.0,15.397523516484398,0.9247166666666666,0.9285
mnist,trainUval,vgg,20,165,a1,0.0,0.0,13.599790089065095,0.9981833333333333,0.9842
mnist,trainUval,vgg,20,190,a1,0.0,0.0,15.089554053149186,0.9994,0.9835
mnist,trainUval,vgg,20,34,a1,0.0,0.0,14.608086122727236,0.9701333333333333,0.9665
mnist,trainUval,vgg,20,5,a1,0.0,0.0,19.91077458905056,0.6770166666666667,0.6855
mnist,trainUval,vgg,20,85,a1,0.0,0.0,14.352163955050152,0.9911666666666666,0.9808
mnist,val,vgg,20,10,a1,0.0,0.0,12.78503294933762,0.8256,0.8344
mnist,val,vgg,20,135,a1,0.0,0.0,12.699485651333816,0.9995,0.9844
mnist,val,vgg,20,160,a1,0.0,0.0,12.002979419193977,0.9977166666666667,0.9835
mnist,val,vgg,20,186,a1,0.0,0.0,15.402716370968818,0.9993333333333333,0.9847
mnist,val,vgg,20,2,a1,0.0,0.0,0.6055891513824463,0.10061666666666666,0.0997
mnist,val,vgg,20,55,a1,0.0,0.0,8.51901420232943,0.9897666666666667,0.979
mnist,val,vgg,20,80,a1,0.0,0.0,11.224415553706315,0.98735,0.9786
cifar,train,wres,20,105,a1,0.0,0.0,472.3678862657887,0.9557,0.8035
cifar,train,wres,20,130,a1,0.0,0.0,5490.172827878524,0.99362,0.8284
cifar,train,wres,20,156,a1,0.0,0.0,268.62121065762295,0.86384,0.7386
cifar,train,wres,20,181,a1,0.0,0.0,223.75733615285986,0.9658,0.8032
cifar,train,wres,20,25,a1,0.0,0.0,487.4068081529358,0.71158,0.6598
cifar,train,wres,20,50,a1,0.0,0.0,680.6754813179587,0.86622,0.7708
cifar,train,wres,20,76,a1,0.0,0.0,1098.6480760176337,0.8768,0.775
cifar,trainUval,wres,20,100,a1,0.0,0.0,686.2080426722539,0.95284,0.7987
cifar,trainUval,wres,20,126,a1,0.0,0.0,3069.431459322878,0.99556,0.8306
cifar,trainUval,wres,20,151,a1,0.0,0.0,508.2617487884768,0.90942,0.772
cifar,trainUval,wres,20,177,a1,0.0,0.0,83.83050720266726,0.96132,0.8038
cifar,trainUval,wres,20,20,a1,0.0,0.0,178.31922349066008,0.6436,0.6122
cifar,trainUval,wres,20,46,a1,0.0,0.0,2080.9042296075827,0.81322,0.738
cifar,trainUval,wres,20,71,a1,0.0,0.0,3064.7712208112557,0.84258,0.7477
cifar,trainUval,wres,20,97,a1,0.0,0.0,496.66752408091406,0.95324,0.8073
cifar,val,wres,20,121,a1,0.0,0.0,685.3500634451533,0.99016,0.8214
cifar,val,wres,20,147,a1,0.0,0.0,1176.8911484642208,0.99526,0.8369
cifar,val,wres,20,172,a1,0.0,0.0,29.659060161368025,0.95216,0.7917
cifar,val,wres,20,198,a1,0.0,0.0,31.42326908595564,0.97572,0.8116
cifar,val,wres,20,41,a1,0.0,0.0,205.05141034320513,0.80036,0.7401
cifar,val,wres,20,67,a1,0.0,0.0,5913.657611233561,0.97988,0.8009
cifar,val,wres,20,92,a1,0.0,0.0,220.3105022652854,0.9396,0.7992
mnist,train,wres,20,117,a1,0.0,0.0,0.00982629782969724,1.0,0.9872
mnist,train,wres,20,22,a1,0.0,0.0,1.496607172606005,0.9999333333333333,0.9838
mnist,train,wres,20,48,a1,0.0,0.0,0.361280781288869,1.0,0.9839
mnist,train,wres,20,73,a1,0.0,0.0,0.06650064026972302,1.0,0.9846
mnist,train,wres,20,99,a1,0.0,0.0,0.04048205149484119,1.0,0.9862
mnist,trainUval,wres,20,123,a1,0.0,0.0,13.646099173440973,1.0,0.9867
mnist,trainUval,wres,20,149,a1,0.0,0.0,14.086349089766522,1.0,0.9865
mnist,trainUval,wres,20,174,a1,0.0,0.0,12.806554378623765,1.0,0.9864
mnist,trainUval,wres,20,19,a1,0.0,0.0,9.724916373188826,0.9992333333333333,0.9815
mnist,trainUval,wres,20,43,a1,0.0,0.0,15.662719568928829,0.99995,0.9832
mnist,trainUval,wres,20,69,a1,0.0,0.0,15.328373972062472,1.0,0.9848
mnist,trainUval,wres,20,94,a1,0.0,0.0,15.56103516797414,1.0,0.9856
mnist,val,wres,20,119,a1,0.0,0.0,13.903277313685457,1.0,0.9871
mnist,val,wres,20,144,a1,0.0,0.0,14.295563132792786,1.0,0.987
mnist,val,wres,20,16,a1,0.0,0.0,10.420342300704135,0.9972666666666666,0.9797
mnist,val,wres,20,195,a1,0.0,0.0,12.796899897270038,1.0,0.9851
mnist,val,wres,20,39,a1,0.0,0.0,11.55398047255548,0.9999,0.9818
mnist,val,wres,20,64,a1,0.0,0.0,15.34243797420634,1.0,0.9849
mnist,val,wres,20,8,a1,0.0,0.0,10.036192141831975,0.9977833333333334,0.9792
cifar,train,densenet,20,100,a1,0.0,0.0,7.763665831992178,0.97136,0.8382
cifar,train,densenet,20,126,a1,0.0,0.0,4.631117172849713,0.9986,0.8715
cifar,train,densenet,20,151,a1,0.0,0.0,8.49867478808298,0.9184,0.8183
cifar,train,densenet,20,177,a1,0.0,0.0,7.552274160049393,0.96162,0.8441
cifar,train,densenet,20,20,a1,0.0,0.0,12.871209836403139,0.86552,0.792
cifar,train,densenet,20,46,a1,0.0,0.0,8.856628741271507,0.93342,0.8226
cifar,train,densenet,20,71,a1,0.0,0.0,9.133632505937932,0.91458,0.8064
cifar,train,densenet,20,97,a1,0.0,0.0,8.211669756619216,0.97282,0.8485
cifar,trainUval,densenet,20,121,a1,0.0,0.0,13.43151246267417,0.99748,0.8646
cifar,trainUval,densenet,20,147,a1,0.0,0.0,13.50823219662692,0.99986,0.8751
cifar,trainUval,densenet,20,172,a1,0.0,0.0,12.424422042485027,0.9656,0.8432
cifar,trainUval,densenet,20,198,a1,0.0,0.0,12.153250578867592,0.97122,0.8468
cifar,trainUval,densenet,20,41,a1,0.0,0.0,11.733042221640375,0.91236,0.8112
cifar,trainUval,densenet,20,67,a1,0.0,0.0,13.464400794175432,0.99722,0.8496
cifar,trainUval,densenet,20,92,a1,0.0,0.0,13.20401848634085,0.95358,0.8302
cifar,val,densenet,20,117,a1,0.0,0.0,12.955981827180864,0.99452,0.8575
cifar,val,densenet,20,142,a1,0.0,0.0,13.153602985933617,0.99986,0.8744
cifar,val,densenet,20,168,a1,0.0,0.0,11.79134208475432,0.95934,0.8445
cifar,val,densenet,20,193,a1,0.0,0.0,11.980640740470932,0.96282,0.8354
cifar,val,densenet,20,37,a1,0.0,0.0,14.059532161437737,0.89244,0.8095
cifar,val,densenet,20,62,a1,0.0,0.0,13.125959316032478,0.9943,0.8471
cifar,val,densenet,20,88,a1,0.0,0.0,12.409303063413233,0.95492,0.836
mnist,train,densenet,20,112,a1,0.0,0.0,9.233592600079518,0.9987666666666667,0.9715
mnist,train,densenet,20,138,a1,0.0,0.0,8.400914248113097,0.9993,0.9718
mnist,train,densenet,20,163,a1,0.0,0.0,6.934551284743101,0.9997333333333334,0.9729
mnist,train,densenet,20,189,a1,0.0,0.0,4.965340910490653,0.9999666666666667,0.972
mnist,train,densenet,20,32,a1,0.0,0.0,8.873628231545808,0.9686166666666667,0.958
mnist,train,densenet,20,58,a1,0.0,0.0,9.311224031012756,0.9885,0.9669
mnist,train,densenet,20,83,a1,0.0,0.0,9.443106150809434,0.9946333333333334,0.9695
mnist,trainUval,densenet,20,108,a1,0.0,0.0,9.202691329709346,0.9985833333333334,0.972
mnist,trainUval,densenet,20,133,a1,0.0,0.0,9.181103165515907,0.9993,0.9719
mnist,trainUval,densenet,20,159,a1,0.0,0.0,9.58303645591679,0.9996666666666667,0.972
mnist,trainUval,densenet,20,184,a1,0.0,0.0,9.982293860519931,0.9999166666666667,0.9727
mnist,trainUval,densenet,20,28,a1,0.0,0.0,9.738568298633936,0.96485,0.9545
mnist,trainUval,densenet,20,53,a1,0.0,0.0,9.3410538717566,0.9872666666666666,0.9675
mnist,trainUval,densenet,20,79,a1,0.0,0.0,9.510789578396192,0.99305,0.9695
mnist,val,densenet,20,103,a1,0.0,0.0,8.961302393529714,0.9984166666666666,0.9709
mnist,val,densenet,20,129,a1,0.0,0.0,9.650251758230048,0.9993,0.9719
mnist,val,densenet,20,154,a1,0.0,0.0,9.007278544458686,0.9995,0.9729
mnist,val,densenet,20,17,a1,0.0,0.0,8.825139399668842,0.95195,0.9436
mnist,val,densenet,20,23,a1,0.0,0.0,9.514958455329179,0.9625833333333333,0.9534
mnist,val,densenet,20,49,a1,0.0,0.0,9.502009426294535,0.9858166666666667,0.9663
mnist,val,densenet,20,74,a1,0.0,0.0,8.929187098912514,0.9912166666666666,0.9681
mnist,val,densenet,20,9,a1,0.0,0.0,8.801623469953483,0.9043166666666667,0.8994
cifar,train,resnet,20,124,a1,0.0,0.0,5.772017330724381,0.99494,0.8561
cifar,train,resnet,20,14,a1,0.0,0.0,15.422224219487823,0.77578,0.7448
cifar,train,resnet,20,175,a1,0.0,0.0,8.245674440413474,0.95466,0.8308
cifar,train,resnet,20,1,a1,0.0,0.0,32.30237471452165,0.492,0.4807
cifar,train,resnet,20,44,a1,0.0,0.0,8.290832748826901,0.90294,0.8153
cifar,train,resnet,20,6,a1,0.0,0.0,11.723070446029851,0.74282,0.7149
cifar,train,resnet,20,95,a1,0.0,0.0,10.630163028687221,0.94208,0.8259
cifar,trainUval,resnet,20,11,a1,0.0,0.0,14.855460138072885,0.74326,0.709
cifar,trainUval,resnet,20,145,a1,0.0,0.0,14.843145514115307,0.99974,0.8628
cifar,trainUval,resnet,20,170,a1,0.0,0.0,11.107610929957296,0.95514,0.8384
cifar,trainUval,resnet,20,196,a1,0.0,0.0,12.399260855489267,0.96906,0.8413
cifar,trainUval,resnet,20,3,a1,0.0,0.0,17.20360225337572,0.6326,0.617
