dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
cifar,train,vgg,20,183,a1,1e-06,1e-06,12.116367191076343,0.98252,0.8916
cifar,train,vgg,20,27,a1,1e-06,1e-06,9.60414986343131,0.95516,0.8843
cifar,train,vgg,20,52,a1,1e-06,1e-06,11.193681865930898,0.97236,0.8869
cifar,train,vgg,20,78,a1,1e-06,1e-06,11.227467715897575,0.96408,0.8834
cifar,trainUval,vgg,20,102,a1,1e-06,1e-06,19.49285171180975,0.98626,0.8952
cifar,trainUval,vgg,20,128,a1,1e-06,1e-06,19.110103398561478,0.99948,0.9131
cifar,trainUval,vgg,20,153,a1,1e-06,1e-06,14.180945992517422,0.95688,0.8759
cifar,trainUval,vgg,20,179,a1,1e-06,1e-06,15.734664812684287,0.98162,0.8936
cifar,trainUval,vgg,20,22,a1,1e-06,1e-06,15.386375331815778,0.92584,0.8643
cifar,trainUval,vgg,20,48,a1,1e-06,1e-06,16.021386496730003,0.96454,0.8823
cifar,trainUval,vgg,20,73,a1,1e-06,1e-06,18.345645740891086,0.95194,0.8729
cifar,trainUval,vgg,20,99,a1,1e-06,1e-06,15.47818119823934,0.98558,0.8957
cifar,val,vgg,20,123,a1,1e-06,1e-06,17.63985154402326,0.99922,0.9126
cifar,val,vgg,20,149,a1,1e-06,1e-06,19.10114288330078,0.99998,0.9164
cifar,val,vgg,20,174,a1,1e-06,1e-06,14.004646792093595,0.98182,0.8905
cifar,val,vgg,20,19,a1,1e-06,1e-06,12.456168919341465,0.8968,0.8475
cifar,val,vgg,20,43,a1,1e-06,1e-06,14.654211409416533,0.94388,0.8703
cifar,val,vgg,20,69,a1,1e-06,1e-06,21.493623077869415,0.99844,0.9075
cifar,val,vgg,20,94,a1,1e-06,1e-06,16.847584731888226,0.9822,0.8927
mnist,train,vgg,20,119,a1,1e-06,1e-06,11.467632095780573,0.9990666666666667,0.983
mnist,train,vgg,20,144,a1,1e-06,1e-06,10.267798858891183,0.9996166666666667,0.984
mnist,train,vgg,20,16,a1,1e-06,1e-06,15.236732872620564,0.94005,0.9389
mnist,train,vgg,20,195,a1,1e-06,1e-06,3.9676687317191863,0.9995333333333334,0.9824
mnist,train,vgg,20,39,a1,1e-06,1e-06,14.110114227358224,0.9799166666666667,0.9754
mnist,train,vgg,20,64,a1,1e-06,1e-06,16.449574418468387,0.9923,0.981
mnist,train,vgg,20,8,a1,1e-06,1e-06,16.897888548934134,0.8149,0.8243
mnist,trainUval,vgg,20,114,a1,1e-06,1e-06,13.728010794544389,0.9982833333333333,0.9843
mnist,trainUval,vgg,20,13,a1,1e-06,1e-06,15.397521966801833,0.9247166666666666,0.9285
mnist,trainUval,vgg,20,165,a1,1e-06,1e-06,13.599789373809472,0.9981833333333333,0.9842
mnist,trainUval,vgg,20,190,a1,1e-06,1e-06,15.089554053149186,0.9994,0.9835
mnist,trainUval,vgg,20,34,a1,1e-06,1e-06,14.608078970222842,0.9701333333333333,0.9665
mnist,trainUval,vgg,20,5,a1,1e-06,1e-06,19.91077458905056,0.6770166666666667,0.6855
mnist,trainUval,vgg,20,85,a1,1e-06,1e-06,14.352160855628888,0.9911666666666666,0.9808
mnist,val,vgg,20,10,a1,1e-06,1e-06,12.78503294933762,0.8256,0.8344
mnist,val,vgg,20,135,a1,1e-06,1e-06,12.699485651333816,0.9995,0.9844
mnist,val,vgg,20,160,a1,1e-06,1e-06,12.002978823147721,0.9977166666666667,0.9835
mnist,val,vgg,20,186,a1,1e-06,1e-06,15.402716132550268,0.9993333333333333,0.9847
mnist,val,vgg,20,2,a1,1e-06,1e-06,0.6055891513824463,0.10061666666666666,0.0997
mnist,val,vgg,20,55,a1,1e-06,1e-06,8.519011579730183,0.9897666666666667,0.979
mnist,val,vgg,20,80,a1,1e-06,1e-06,11.224413169541329,0.98735,0.9786
cifar,train,wres,20,105,a1,1e-06,1e-06,472.3678727951975,0.9557,0.8035
cifar,train,wres,20,130,a1,1e-06,1e-06,5490.172797480189,0.99362,0.8284
cifar,train,wres,20,156,a1,1e-06,1e-06,268.62121018078597,0.86384,0.7386
cifar,train,wres,20,181,a1,1e-06,1e-06,223.75732411281666,0.9658,0.8032
cifar,train,wres,20,25,a1,1e-06,1e-06,487.4068081529358,0.71158,0.6598
cifar,train,wres,20,50,a1,1e-06,1e-06,680.6754810795455,0.86622,0.7708
cifar,train,wres,20,76,a1,1e-06,1e-06,1098.6480722029785,0.8768,0.775
cifar,trainUval,wres,20,100,a1,1e-06,1e-06,686.2080240756457,0.95284,0.7987
cifar,trainUval,wres,20,126,a1,1e-06,1e-06,3069.4314277324634,0.99556,0.8306
cifar,trainUval,wres,20,151,a1,1e-06,1e-06,508.26174258964966,0.90942,0.772
cifar,trainUval,wres,20,177,a1,1e-06,1e-06,83.83048920226426,0.96132,0.8038
cifar,trainUval,wres,20,20,a1,1e-06,1e-06,178.31922349066008,0.6436,0.6122
cifar,trainUval,wres,20,46,a1,1e-06,1e-06,2080.9042294883743,0.81322,0.738
cifar,trainUval,wres,20,71,a1,1e-06,1e-06,3064.7712177118983,0.84258,0.7477
cifar,trainUval,wres,20,97,a1,1e-06,1e-06,496.66751096796276,0.95324,0.8073
cifar,val,wres,20,121,a1,1e-06,1e-06,685.3500585575767,0.99016,0.8214
cifar,val,wres,20,147,a1,1e-06,1e-06,1176.8911416692936,0.99526,0.8369
cifar,val,wres,20,172,a1,1e-06,1e-06,29.65905849245616,0.95216,0.7917
cifar,val,wres,20,198,a1,1e-06,1e-06,31.423268847540697,0.97572,0.8116
cifar,val,wres,20,41,a1,1e-06,1e-06,205.05141034320513,0.80036,0.7401
cifar,val,wres,20,67,a1,1e-06,1e-06,5913.657604557845,0.97988,0.8009
cifar,val,wres,20,92,a1,1e-06,1e-06,220.31049809296422,0.9396,0.7992
mnist,train,wres,20,117,a1,1e-06,1e-06,0.009816165042138891,1.0,0.9872
mnist,train,wres,20,22,a1,1e-06,1e-06,1.4965768934716266,0.9999333333333333,0.9838
mnist,train,wres,20,48,a1,1e-06,1e-06,0.3612747016159119,1.0,0.9839
