dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
cifar,train,resnet,20,53,a1,1e-06,1e-06,7.014621069362306,130,256,0.9487,0.8309
cifar,trainUval,resnet,20,111,a1,1e-06,1e-06,13.83130495618525,83,165,0.97882,0.8458
cifar,trainUval,resnet,20,188,a1,1e-06,1e-06,12.869192770968766,137,270,0.96588,0.8388
cifar,trainUval,resnet,20,90,a1,1e-06,1e-06,11.426821128431357,92,182,0.93574,0.8279
cifar,trainUval,resnet,20,62,a1,1e-06,1e-06,16.979110242132606,59,117,0.98224,0.8425
cifar,val,resnet,20,107,a1,1e-06,1e-06,14.232917032745263,42,80,0.96778,0.8374
cifar,val,resnet,20,97,a1,1e-06,1e-06,11.330726015885148,46,91,0.9525,0.8302
cifar,val,resnet,20,175,a1,1e-06,1e-06,11.10192372631036,50,98,0.95466,0.8308
cifar,val,resnet,20,133,a1,1e-06,1e-06,14.49938034761908,48,94,0.9989,0.8612
mnist,train,densenet,20,182,a1,1e-06,1e-06,5.940566335623998,102,197,0.9999,0.9716
mnist,train,densenet,20,117,a1,1e-06,1e-06,8.390886306585571,147,285,0.9990666666666667,0.9714
mnist,train,densenet,20,187,a1,1e-06,1e-06,5.211273864032819,92,175,0.9999333333333333,0.9733
mnist,train,densenet,20,134,a1,1e-06,1e-06,8.309342994351027,132,254,0.9993,0.9712
mnist,trainUval,densenet,20,143,a1,1e-06,1e-06,8.966428546122415,142,273,0.9992666666666666,0.9718
mnist,trainUval,densenet,20,18,a1,1e-06,1e-06,9.275532171142913,175,335,0.95395,0.9443
mnist,trainUval,densenet,20,180,a1,1e-06,1e-06,9.598311539571569,99,191,0.9999,0.9728
mnist,trainUval,densenet,20,155,a1,1e-06,1e-06,9.501088600329354,130,251,0.99955,0.9722
mnist,val,densenet,20,103,a1,1e-06,1e-06,8.961299796915114,49,93,0.9984166666666666,0.9709
mnist,val,densenet,20,30,a1,1e-06,1e-06,9.45289292320831,43,83,0.9648333333333333,0.9542
mnist,val,densenet,20,73,a1,1e-06,1e-06,8.853059457504287,50,95,0.9904833333333334,0.968
mnist,val,densenet,20,109,a1,1e-06,1e-06,8.96868679549425,45,85,0.9986666666666667,0.9722
cifar,train,densenet,20,76,a1,1e-06,1e-06,8.048272591466457,113,224,0.93106,0.8272
cifar,train,densenet,20,197,a1,1e-06,1e-06,7.360597422146384,176,340,0.97844,0.8524
cifar,train,densenet,20,178,a1,1e-06,1e-06,7.959295584954475,142,279,0.96674,0.8425
cifar,train,densenet,20,190,a1,1e-06,1e-06,7.028892392087073,162,316,0.97628,0.8558
cifar,trainUval,densenet,20,13,a1,1e-06,1e-06,13.164326564829253,176,348,0.77016,0.7332
cifar,trainUval,densenet,20,95,a1,1e-06,1e-06,11.89252968902042,146,288,0.97096,0.8431
cifar,trainUval,densenet,20,136,a1,1e-06,1e-06,13.326535474956927,393,757,0.9998,0.8732
cifar,trainUval,densenet,20,184,a1,1e-06,1e-06,11.390545569515098,189,373,0.96574,0.8429
cifar,val,densenet,20,139,a1,1e-06,1e-06,13.043774092096555,95,186,0.99984,0.8728
cifar,val,densenet,20,51,a1,1e-06,1e-06,11.18236975868831,38,74,0.96086,0.8322
cifar,val,densenet,20,153,a1,1e-06,1e-06,10.822748423711346,36,70,0.9322,0.8241
cifar,val,densenet,20,113,a1,1e-06,1e-06,12.908095006623398,58,112,0.9916,0.8591
mnist,train,resnet,20,168,a1,1e-06,1e-06,1.9677369914463725,50,98,0.9999833333333333,0.9813
mnist,train,resnet,20,161,a1,1e-06,1e-06,3.056382972444794,60,118,0.9999666666666667,0.9794
mnist,train,resnet,20,105,a1,1e-06,1e-06,3.901987971146127,72,143,0.9999166666666667,0.9789
mnist,train,resnet,20,46,a1,1e-06,1e-06,9.156616151660387,169,330,0.9965833333333334,0.9771
mnist,trainUval,resnet,20,24,a1,1e-06,1e-06,10.955705342847068,201,388,0.98655,0.9721
mnist,trainUval,resnet,20,40,a1,1e-06,1e-06,9.811422755284411,174,340,0.99445,0.9748
