Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
4.7683579396107234e-07,79,3.4570634852570947e-06,0.2186995744646083,saddle-saddle,1.0728790584835224e-06,113,1.0,6,113,0.0164
4.7683579396107234e-07,80,1.3351351299206726e-05,0.21870946875242225,saddle-saddle,0.0,1,1.0,1,1,0.0001
4.7683579396107234e-07,81,1.9430925021879375e-05,0.21871554832614493,minima-saddle,8.22524816612713e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,82,8.344646857949556e-07,0.21869695186580884,minima-saddle,9.536730658510351e-07,1,1.0,6,1,0.0001
4.7683579396107234e-07,83,8.344646857949556e-07,0.21869695186580884,saddle-saddle,0.0,5,1.0,2,5,0.0007
4.7683579396107234e-07,84,1.7046782886609435e-05,0.21871316418400966,saddle-saddle,1.192074705613777e-07,9,1.0,1,9,0.0011
4.7683579396107234e-07,85,4.3748852476710454e-05,0.21873986625359976,minima-saddle,1.8118855223292485e-05,1,1.0,1,1,0.0001
4.7683579396107234e-07,86,2.622600959512056e-06,0.21869874000208256,saddle-saddle,8.344625257450389e-07,91,1.0,6,91,0.0132
4.7683579396107234e-07,87,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,23,1.0,4,23,0.0034
4.7683579396107234e-07,88,3.933898824470816e-06,0.21870005129994752,saddle-saddle,3.3378414627804887e-06,9,1.0,1,9,0.0011
4.7683579396107234e-07,89,3.576272320060525e-06,0.2186996936734431,minima-saddle,8.46379316499224e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,90,1.311301275563892e-06,0.2186974287023986,saddle-saddle,5.960455382592045e-07,43,1.0,0,43,0.0062
4.7683579396107234e-07,91,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,38,1.0,4,38,0.0056
4.7683579396107234e-07,92,1.585470999998506e-05,0.21871197211112303,saddle-saddle,1.1920728866243735e-06,41,1.0,1,41,0.0052
4.7683579396107234e-07,93,4.768370445162873e-07,0.21869659423816756,minima-saddle,5.960459930065554e-07,6,1.0,0,6,0.0009
4.7683579396107234e-07,94,9.775113539944869e-06,0.218705892514663,saddle-saddle,4.649106813303661e-06,374,1.0,0,374,0.0542
4.7683579396107234e-07,95,1.0728830375228426e-06,0.21869719028416057,minima-saddle,2.622598003654275e-06,2,1.0,0,2,0.0003
