Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
2.026555648626527e-06,120,6.198863957251888e-06,0.20512733457562718,minima-saddle,4.649122274713591e-06,3,1.0,1,3,0.0004
2.026555648626527e-06,121,1.6212332411669195e-05,0.2051373480440816,minima-saddle,1.1801457731053233e-05,1,1.0,1,1,0.0001
2.026555648626527e-06,122,7.867782187531702e-06,0.20512900349385746,saddle-saddle,9.53666130953934e-07,2,1.0,1,2,0.0003
2.026555648626527e-06,123,8.702239938429557e-06,0.20512983795160836,saddle-saddle,9.53666130953934e-07,9,1.0,1,9,0.0011
2.026555648626527e-06,124,6.079655122448457e-06,0.20512721536679238,minima-saddle,7.986942364368588e-06,1,1.0,0,1,0.0001
2.026555648626527e-06,125,9.059865078597795e-06,0.20513019557674853,minima-saddle,2.217248038505204e-05,3,1.0,1,3,0.0004
2.026555648626527e-06,126,2.9802276912960224e-06,0.20512411593936122,minima-saddle,5.245179636403918e-06,1,1.0,0,1,0.0001
2.026555648626527e-06,127,1.0013530300057027e-05,0.20513114924196998,saddle-saddle,1.1920838005607948e-07,10,1.0,0,10,0.0014
2.026555648626527e-06,128,-0.0,0.20512113571166993,minima-saddle,3.2186455882765586e-06,1014,1.0,3,1014,0.142
2.026555648626527e-06,129,1.2993727978027891e-05,0.20513412943964796,saddle-saddle,5.364333446777891e-06,165,1.0,7,165,0.0226
2.026555648626527e-06,130,1.4424220353248529e-05,0.20513555993202318,saddle-saddle,1.192074705613777e-07,1,1.0,1,1,0.0001
2.026555648626527e-06,131,4.172316494077677e-06,0.205125308028164,saddle-saddle,0.0,2,1.0,0,2,0.0003
2.026555648626527e-06,132,1.2040065485052764e-05,0.20513317577715498,saddle-saddle,9.53662492975127e-07,10,1.0,1,10,0.0013
2.026555648626527e-06,133,6.6756979322235566e-06,0.20512781140960215,minima-saddle,2.1457503862620797e-06,2,1.0,1,2,0.0003
