dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc,average_branching_factor_variance_w3,colless_index_variance_w3,sackin_index_variance_w3,total_volume_variance_w3,missing_colless_frac_variance_w3,average_branching_factor_variance_w5,colless_index_variance_w5,sackin_index_variance_w5,total_volume_variance_w5,missing_colless_frac_variance_w5,average_branching_factor_variance_w7,colless_index_variance_w7,sackin_index_variance_w7,total_volume_variance_w7,missing_colless_frac_variance_w7,average_branching_factor_variance_w9,colless_index_variance_w9,sackin_index_variance_w9,total_volume_variance_w9,missing_colless_frac_variance_w9,average_branching_factor_variance_w11,colless_index_variance_w11,sackin_index_variance_w11,total_volume_variance_w11,missing_colless_frac_variance_w11,average_branching_factor_variance_w13,colless_index_variance_w13,sackin_index_variance_w13,total_volume_variance_w13,missing_colless_frac_variance_w13,average_branching_factor_variance_w15,colless_index_variance_w15,sackin_index_variance_w15,total_volume_variance_w15,missing_colless_frac_variance_w15
cifar,val,densenet,20,61,a1,0.0,0.0,149,2.0,9798.0,136.08333333333334,72,2,0.027027027027027,406685.0,5422.466666666666,75,10000,0.99364,0.8484,0.000179596755829499,3676650186.3333335,234297578336.3333,0.0,0.00016569056842247166,9.824230211670818e-05,10169249171.300001,143144698363.3,0.0,9.266441952688115e-05,0.00011367881202197144,10724622836.0,223006176370.9524,0.0,0.00011044050597330849,0.00014231745485068613,8374742773.444444,194888279132.11115,0.0,0.00013524570484809667,0.00015680748264942937,8762288524.090908,178043651758.67273,0.0,0.00014894561189118078,0.00017942376237547723,8873105277.192308,239275189629.39743,0.0,0.00017064246342951745,0.00015417271465553817,13117278285.695236,216256227443.40958,0.0,0.00014638314770028214
cifar,val,densenet,20,87,a1,0.0,0.0,87,2.0,19627.0,478.7073170731707,41,2,0.0465116279069767,256078.0,5819.954545454545,44,10000,0.94614,0.8294,5.151503807344229e-05,3178514894.333333,141573402412.0,0.0,5.187692676266112e-05,0.00011433525554552988,10824218568.5,233802030300.7,0.0,0.00010135779810208854,0.00010313135085351716,11145379961.238096,169284403576.9524,0.0,9.120215931116423e-05,0.00010697490670557824,8735161681.944445,202106368440.02777,0.0,0.00010205314597753417,0.00014123864650255951,7794610282.054545,212406323444.2182,0.0,0.00013059377797483787,0.00015930150135067155,8166941035.974359,195807174399.35898,0.0,0.00014770038215056557,0.00016551452111215824,8210153103.066667,230964948821.69522,0.0,0.00015532788040832846
mnist,train,densenet,20,111,a1,0.0,0.0,385,2.075675675675676,146976.0,869.6804733727811,169,16,0.0864864864864864,2162161.0,10810.805,200,60000,0.9988333333333334,0.971,7.067826696382579e-05,9167972691.0,226086498169.0,0.0,6.589219820406109e-05,0.00010535104712268178,9199270753.8,230315096871.2,0.0,8.985502385673524e-05,9.18999139727457e-05,7498331022.952381,218047328022.33334,0.0,8.203559019749776e-05,0.00011065918635660503,9733804926.61111,226813032777.52777,0.0,9.515148603210966e-05,0.00011852722974580428,8098387843.618182,221658735129.0546,0.0,0.00010883346488854253,0.00012557978385305374,6852098109.1410265,213123963772.6923,0.0,0.00011491073996639744,0.0001494965329577947,7202583994.266667,202635886461.69522,0.0,0.0001395091053484142
mnist,train,densenet,20,137,a1,0.0,0.0,404,2.132275132275132,225944.0,1369.3575757575757,165,24,0.1269841269841269,2158268.0,10038.45581395349,215,60000,0.9993333333333332,0.9716,2.4558823111892404e-05,11717995265.333334,242366515814.33334,0.0,1.5480582720568224e-05,5.603078478984596e-05,7107412654.7,170527208571.19998,0.0,5.3918970742244056e-05,0.0001165382781137122,8032299923.333333,291024116547.47626,0.0,9.750003058478609e-05,9.829541491835971e-05,7293692449.611112,245101204128.75,0.0,8.580494340449465e-05,9.730585181126073e-05,8192051126.672728,237220469351.56366,0.0,8.288180904153732e-05,0.00011353037639206313,6979976281.602565,225074863269.30765,0.0,0.00010566905395269921,0.0001131953686374014,7073761222.114284,241284916626.25717,0.0,0.00010650038148245439
mnist,train,densenet,20,162,a1,0.0,0.0,440,2.1310679611650487,144676.0,794.9230769230769,182,24,0.116504854368932,2459228.0,10509.521367521367,234,60000,0.9996666666666668,0.9722,2.527204947622563e-05,13443179990.333332,30744552747.0,0.0,3.1594504385663e-05,5.0307482700700094e-05,8543498242.700001,233932090870.8,0.0,4.328578440431157e-05,7.223971155662047e-05,6495255256.4761915,183384501810.61902,0.0,6.627588699576228e-05,9.821130258397251e-05,6422592127.944445,281460672208.1944,0.0,8.168269246554932e-05,9.555121218121602e-05,6178565288.563635,244452449477.56363,0.0,8.73520598647903e-05,8.806458625636506e-05,8247523491.807693,274165213402.69235,0.0,7.918894368337302e-05,9.830703164140516e-05,7156384585.780952,241440335306.35236,0.0,9.096066579361694e-05
mnist,train,densenet,20,188,a1,0.0,0.0,474,2.0929203539823007,193817.0,950.0833333333334,204,22,0.0973451327433628,2326572.0,9381.33870967742,248,60000,0.9999333333333332,0.9723,7.193281839625368e-05,6598902751.0,77155112389.33333,0.0,7.246932249467699e-05,4.9601119396204866e-05,9289483923.7,41881203897.200005,0.0,5.070387377797539e-05,4.3549783659722475e-05,6742749639.809524,193417422541.9524,0.0,3.904497864167683e-05,7.575807767403353e-05,5217789166.5,172795467551.25003,0.0,7.372863027115571e-05,8.70732667821823e-05,6966804127.09091,306506493272.4,0.0,7.718794264010992e-05,8.165672520565295e-05,6836604899.307693,259021170655.92313,0.0,7.45706535195372e-05,8.675604766936498e-05,8530807611.266667,241006288001.6667,0.0,7.972574271351391e-05
mnist,train,densenet,20,31,a1,0.0,0.0,309,2.081081081081081,177321.0,1294.3138686131388,137,11,0.0743243243243243,2456605.0,15258.416149068324,161,60000,0.9668166666666668,0.9562,9.339654412256243e-05,6973786768.0,11722769385.333334,0.0,9.118381164590062e-05,5.347464505860851e-05,3819283299.7000003,50565432746.0,0.0,5.3768131533152043e-05,6.682425278666379e-05,6690373654.666667,38875270886.47619,0.0,7.124279365138644e-05,5.378791435307483e-05,6825573434.027778,205334419737.75,0.0,5.576520424704663e-05,6.379737594385765e-05,5555517652.254546,192326700071.56366,0.0,6.157261439155739e-05,8.54774164093272e-05,7537426732.641026,261891260953.23074,0.0,7.742361953140535e-05,0.0001174496800931444,7493950492.52381,255814897714.40952,0.0,0.00010863304061631737
mnist,train,densenet,20,57,a1,0.0,0.0,344,2.104294478527607,173094.0,1177.5102040816328,147,16,0.0981595092024539,2292962.0,12668.298342541437,181,60000,0.9885833333333334,0.9668,7.074476523024008e-05,6005386756.333333,7084345346.333332,0.0,6.830050882896195e-05,9.316596338067442e-05,4206848699.5,8570088038.3,0.0,9.569361777836414e-05,6.714967507418202e-05,5776525341.238095,74646802388.61903,0.0,7.236651229623154e-05,5.7881519030812806e-05,6502063995.25,84773640797.75,0.0,5.972484562552955e-05,6.771473668388154e-05,7108725856.618181,175097761757.01822,0.0,6.786967230254175e-05,0.00011059510564523274,6024258399.358974,207168738836.9231,0.0,0.00010379240137158527,0.00011122420066867805,6495245585.266667,282251839321.17145,0.0,0.00010290281894637472
mnist,train,densenet,20,82,a1,0.0,0.0,374,2.083798882681564,214227.0,1306.2621951219512,164,15,0.0837988826815642,2333063.0,11964.42564102564,195,60000,0.9946,0.9693,8.527020275267128e-05,2475627763.0,5266833832.333334,0.0,9.004299464187014e-05,8.910632225150209e-05,6059683376.3,37351015066.3,0.0,9.322289373589327e-05,6.89490898909084e-05,5276080419.809525,78594230968.80952,0.0,6.814780616101382e-05,8.095252959118522e-05,6698026142.527778,82170193818.86111,0.0,8.146976635113693e-05,0.0001237363374399625,6647803849.890909,142475467784.89093,0.0,0.00011661538177156256,0.00010612376716087885,5934616128.589744,238147743270.69235,0.0,0.00010295326448486724,0.00011248776011900403,6815886025.12381,260845403320.06668,0.0,0.000105004799911026
mnist,trainUval,densenet,20,107,a1,0.0,0.0,429,2.0776699029126213,176977.0,941.3670212765958,188,18,0.087378640776699,2856429.0,12809.09865470852,223,70000,0.9984666666666666,0.9718,8.447766659549366e-05,6535593681.333333,51201029672.333336,0.0,8.966240967877227e-05,4.682077219269888e-05,5223921458.8,112189538476.3,0.0,4.625435641283501e-05,9.719959634475934e-05,6114292563.285714,77576843883.80952,0.0,9.448160883293657e-05,0.00013454184406153747,5902367995.444445,164654071748.44446,0.0,0.0001226180664913455,0.0001228819828509856,5377356257.254546,205069897044.0,0.0,0.00011895277334416342,0.00012459177846286794,7654201777.24359,241426259549.6923,0.0,0.00011612572296430277,0.00011070816532685913,6783021623.980952,306972899081.3809,0.0,0.00010633411063332451
