Simplification Threshold,Data Index,Feature ID
1e-06,481,288
1e-06,482,246
1e-06,483,200
1e-06,484,288
1e-06,485,288
1e-06,486,317
1e-06,487,288
1e-06,488,288
1e-06,489,288
1e-06,490,303
1e-06,491,269
1e-06,492,288
1e-06,493,267
1e-06,494,55
1e-06,495,288
1e-06,496,288
1e-06,497,44
1e-06,498,288
1e-06,499,288
1e-06,500,288
1e-06,501,288
1e-06,502,325
1e-06,503,288
1e-06,504,193
1e-06,505,288
1e-06,506,346
1e-06,507,288
1e-06,508,288
1e-06,509,198
1e-06,510,288
1e-06,511,288
1e-06,512,527
1e-06,513,36
1e-06,514,288
1e-06,515,193
1e-06,516,288
1e-06,517,288
1e-06,518,493
1e-06,519,288
1e-06,520,288
1e-06,521,288
1e-06,522,507
1e-06,523,288
1e-06,524,550
1e-06,525,55
1e-06,526,36
1e-06,527,288
1e-06,528,541
1e-06,529,2
1e-06,530,499
1e-06,531,288
1e-06,532,386
1e-06,533,25
1e-06,534,288
1e-06,535,261
1e-06,536,288
1e-06,537,288
1e-06,538,288
1e-06,539,288
1e-06,540,39
1e-06,541,96
1e-06,542,288
1e-06,543,288
1e-06,544,288
1e-06,545,288
1e-06,546,288
1e-06,547,288
1e-06,548,385
1e-06,549,128
1e-06,550,288
1e-06,551,380
1e-06,552,255
1e-06,553,288
1e-06,554,288
1e-06,555,288
1e-06,556,146
1e-06,557,288
1e-06,558,198
1e-06,559,19
1e-06,560,25
1e-06,561,288
1e-06,562,288
1e-06,563,288
1e-06,564,499
1e-06,565,355
1e-06,566,288
1e-06,567,3
1e-06,568,499
1e-06,569,288
1e-06,570,382
1e-06,571,321
1e-06,572,80
1e-06,573,288
1e-06,574,288
1e-06,575,288
1e-06,576,380
1e-06,577,336
1e-06,578,55
1e-06,579,288
1e-06,580,288
1e-06,581,385
1e-06,582,44
1e-06,583,36
1e-06,584,221
1e-06,585,200
1e-06,586,19
1e-06,587,288
1e-06,588,298
1e-06,589,193
1e-06,590,288
1e-06,591,288
1e-06,592,317
1e-06,593,288
1e-06,594,288
1e-06,595,493
1e-06,596,385
1e-06,597,537
1e-06,598,288
1e-06,599,482
1e-06,600,380
1e-06,601,193
1e-06,602,482
1e-06,603,19
1e-06,604,53
1e-06,605,288
1e-06,606,288
1e-06,607,499
1e-06,608,380
1e-06,609,261
1e-06,610,269
1e-06,611,474
1e-06,612,261
1e-06,613,288
1e-06,614,288
1e-06,615,288
1e-06,616,288
1e-06,617,345
1e-06,618,355
1e-06,619,288
1e-06,620,287
1e-06,621,193
1e-06,622,88
1e-06,623,38
1e-06,624,380
1e-06,625,288
1e-06,626,288
1e-06,627,288
1e-06,628,288
1e-06,629,317
1e-06,630,288
1e-06,631,380
1e-06,632,288
1e-06,633,261
1e-06,634,499
1e-06,635,519
1e-06,636,39
1e-06,637,288
1e-06,638,288
1e-06,639,288
1e-06,640,6
1e-06,641,493
1e-06,642,288
1e-06,643,19
1e-06,644,287
1e-06,645,39
1e-06,646,288
1e-06,647,246
1e-06,648,288
1e-06,649,288
1e-06,650,288
1e-06,651,288
1e-06,652,287
1e-06,653,19
1e-06,654,61
1e-06,655,122
1e-06,656,288
1e-06,657,516
1e-06,658,193
1e-06,659,503
1e-06,660,288
1e-06,661,186
1e-06,662,288
1e-06,663,96
1e-06,664,321
1e-06,665,499
1e-06,666,288
1e-06,667,44
1e-06,668,288
1e-06,669,3
1e-06,670,62
1e-06,671,288
1e-06,672,288
1e-06,673,288
1e-06,674,288
1e-06,675,36
1e-06,676,345
1e-06,677,288
1e-06,678,490
1e-06,679,44
1e-06,680,44
1e-06,681,2
1e-06,682,198
1e-06,683,288
1e-06,684,146
1e-06,685,185
1e-06,686,288
1e-06,687,474
1e-06,688,288
1e-06,689,193
1e-06,690,288
1e-06,691,261
1e-06,692,380
1e-06,693,288
1e-06,694,375
1e-06,695,288
1e-06,696,288
1e-06,697,537
1e-06,698,19
1e-06,699,287
1e-06,700,288
1e-06,701,288
1e-06,702,288
1e-06,703,39
1e-06,704,368
1e-06,705,96
1e-06,706,19
1e-06,707,380
1e-06,708,288
1e-06,709,38
1e-06,710,288
1e-06,711,287
1e-06,712,38
1e-06,713,261
1e-06,714,493
1e-06,715,288
1e-06,716,288
1e-06,717,368
1e-06,718,19
1e-06,719,288
1e-06,720,288
1e-06,721,19
1e-06,722,288
1e-06,723,434
1e-06,724,507
1e-06,725,288
1e-06,726,39
1e-06,727,288
1e-06,728,288
1e-06,729,288
1e-06,730,198
1e-06,731,261
1e-06,732,474
1e-06,733,288
1e-06,734,200
1e-06,735,288
1e-06,736,399
1e-06,737,128
1e-06,738,55
1e-06,739,287
1e-06,740,288
1e-06,741,288
1e-06,742,288
1e-06,743,499
1e-06,744,298
1e-06,745,288
1e-06,746,288
1e-06,747,540
1e-06,748,288
1e-06,749,198
1e-06,750,345
1e-06,751,288
1e-06,752,321
1e-06,753,95
1e-06,754,288
1e-06,755,287
1e-06,756,19
1e-06,757,288
1e-06,758,7
1e-06,759,380
1e-06,760,44
1e-06,761,39
1e-06,762,499
1e-06,763,288
1e-06,764,288
1e-06,765,36
1e-06,766,288
1e-06,767,368
1e-06,768,261
1e-06,769,128
1e-06,770,288
1e-06,771,288
1e-06,772,39
1e-06,773,19
1e-06,774,197
1e-06,775,288
1e-06,776,442
1e-06,777,288
1e-06,778,288
1e-06,779,128
1e-06,780,287
1e-06,781,44
1e-06,782,19
1e-06,783,520
1e-06,784,288
1e-06,785,261
1e-06,786,493
1e-06,787,288
1e-06,788,36
1e-06,789,503
1e-06,790,288
1e-06,791,288
1e-06,792,385
1e-06,793,288
1e-06,794,353
1e-06,795,128
1e-06,796,36
1e-06,797,39
1e-06,798,288
1e-06,799,39
1e-06,800,442
1e-06,801,499
1e-06,802,288
1e-06,803,288
1e-06,804,288
1e-06,805,288
1e-06,806,288
1e-06,807,288
1e-06,808,105
1e-06,809,193
1e-06,810,288
1e-06,811,380
1e-06,812,288
1e-06,813,380
1e-06,814,377
1e-06,815,288
1e-06,816,368
1e-06,817,493
1e-06,818,274
1e-06,819,499
1e-06,820,385
1e-06,821,288
1e-06,822,355
1e-06,823,288
1e-06,824,288
1e-06,825,288
1e-06,826,368
1e-06,827,288
1e-06,828,288
1e-06,829,19
1e-06,830,288
1e-06,831,288
1e-06,832,380
1e-06,833,380
1e-06,834,288
1e-06,835,288
1e-06,836,55
1e-06,837,288
1e-06,838,36
1e-06,839,493
1e-06,840,288
1e-06,841,493
1e-06,842,288
1e-06,843,288
1e-06,844,288
1e-06,845,288
1e-06,846,380
1e-06,847,493
1e-06,848,288
1e-06,849,25
1e-06,850,499
1e-06,851,288
1e-06,852,19
1e-06,853,288
1e-06,854,176
1e-06,855,19
1e-06,856,288
1e-06,857,288
1e-06,858,25
1e-06,859,288
1e-06,860,288
1e-06,861,288
1e-06,862,288
1e-06,863,493
1e-06,864,44
1e-06,865,380
1e-06,866,380
1e-06,867,288
1e-06,868,197
1e-06,869,288
1e-06,870,380
1e-06,871,380
1e-06,872,288
1e-06,873,261
1e-06,874,317
1e-06,875,36
1e-06,876,19
1e-06,877,288
1e-06,878,44
1e-06,879,288
1e-06,880,288
1e-06,881,36
1e-06,882,193
1e-06,883,288
1e-06,884,493
1e-06,885,493
1e-06,886,65
1e-06,887,200
1e-06,888,233
1e-06,889,288
1e-06,890,288
1e-06,891,368
1e-06,892,288
1e-06,893,197
1e-06,894,288
1e-06,895,499
1e-06,896,288
1e-06,897,96
1e-06,898,288
1e-06,899,288
1e-06,900,288
1e-06,901,350
1e-06,902,14
1e-06,903,88
1e-06,904,96
1e-06,905,176
1e-06,906,62
1e-06,907,288
1e-06,908,355
1e-06,909,345
1e-06,910,288
1e-06,911,39
1e-06,912,288
1e-06,913,9
1e-06,914,288
1e-06,915,288
1e-06,916,380
1e-06,917,193
1e-06,918,200
1e-06,919,288
1e-06,920,288
1e-06,921,176
1e-06,922,176
1e-06,923,380
1e-06,924,288
1e-06,925,380
1e-06,926,298
1e-06,927,287
1e-06,928,288
1e-06,929,380
1e-06,930,288
1e-06,931,288
1e-06,932,126
1e-06,933,288
1e-06,934,288
1e-06,935,288
1e-06,936,288
1e-06,937,287
1e-06,938,193
1e-06,939,288
1e-06,940,44
1e-06,941,380
1e-06,942,288
1e-06,943,287
1e-06,944,44
1e-06,945,288
1e-06,946,288
1e-06,947,221
1e-06,948,287
1e-06,949,200
1e-06,950,288
1e-06,951,55
1e-06,952,288
1e-06,953,38
1e-06,954,44
1e-06,955,288
1e-06,956,288
1e-06,957,288
1e-06,958,288
1e-06,959,317
1e-06,960,176
1e-06,961,355
1e-06,962,380
1e-06,963,319
1e-06,964,288
1e-06,965,380
1e-06,966,288
1e-06,967,288
1e-06,968,287
1e-06,969,288
1e-06,970,288
1e-06,971,193
1e-06,972,288
1e-06,973,298
1e-06,974,288
1e-06,975,39
1e-06,976,288
1e-06,977,288
1e-06,978,55
1e-06,979,288
1e-06,980,288
1e-06,981,288
1e-06,982,288
1e-06,983,70
1e-06,984,44
1e-06,985,288
1e-06,986,36
1e-06,987,499
1e-06,988,267
1e-06,989,288
1e-06,990,200
1e-06,991,44
1e-06,992,288
1e-06,993,537
1e-06,994,288
1e-06,995,287
1e-06,996,288
1e-06,997,380
1e-06,998,55
1e-06,999,493
1e-06,1000,288
1e-06,1001,288
1e-06,1002,287
1e-06,1003,267
1e-06,1004,288
1e-06,1005,288
1e-06,1006,482
1e-06,1007,44
1e-06,1008,288
1e-06,1009,55
1e-06,1010,288
1e-06,1011,346
1e-06,1012,287
1e-06,1013,288
1e-06,1014,298
1e-06,1015,288
1e-06,1016,380
1e-06,1017,457
1e-06,1018,288
1e-06,1019,193
1e-06,1020,288
1e-06,1021,493
1e-06,1022,380
1e-06,1023,368
