,Simplification Threshold,Count
159,1.1920923270736239e-7,208
160,1.1920923270736239e-7,207
161,1.1920923270736239e-7,206
162,1.1920923270736239e-7,205
163,1.1920923270736239e-7,204
164,1.1920923270736239e-7,203
165,1.1920923270736239e-7,202
166,1.1920923270736239e-7,201
167,1.1920926112907182e-7,200
168,1.1920926112907182e-7,199
169,1.1920926112907182e-7,198
170,1.1920926112907182e-7,197
171,1.1920926112907182e-7,196
172,1.1920926112907182e-7,195
173,1.1920926112907182e-7,194
174,1.1920926112907182e-7,193
175,1.1920926112907182e-7,192
176,1.1920926823449918e-7,191
177,1.1920926823449918e-7,190
178,1.1920926823449918e-7,189
179,1.1920926823449918e-7,188
180,1.1920926823449918e-7,187
181,1.1920926823449918e-7,186
182,1.1920926823449918e-7,185
183,1.1920926823449918e-7,184
184,1.1920926823449918e-7,183
185,1.1920926823449918e-7,182
186,1.1920926823449918e-7,181
187,1.1920926823449918e-7,180
188,1.1920926823449918e-7,179
189,1.1920926823449918e-7,178
190,1.1920928244535389e-7,177
191,1.1920928244535389e-7,176
192,1.1920928244535389e-7,175
193,1.1920928244535389e-7,174
194,1.1920928244535389e-7,173
195,1.1920928244535389e-7,172
196,1.1920928244535389e-7,171
197,1.1920928244535389e-7,170
198,1.1920928244535389e-7,169
199,1.1920928244535389e-7,168
200,1.1920928244535389e-7,167
201,1.1920928244535389e-7,166
202,1.1920928244535389e-7,165
203,1.1920928244535389e-7,164
204,1.1920928244535389e-7,163
205,1.1920928244535389e-7,162
206,1.1920928244535389e-7,161
207,1.1920928244535389e-7,160
208,1.1920928244535389e-7,159
209,1.1920928244535389e-7,158
210,1.1920928244535389e-7,157
211,1.1920928244535389e-7,156
212,1.1920928244535389e-7,155
213,1.1920928244535389e-7,154
214,2.3841312213335186e-7,153
215,2.384149411227554e-7,152
216,2.3841676011215895e-7,151
217,2.3841721485950984e-7,150
218,2.3841721485950984e-7,149
219,2.3841789698053617e-7,148
220,2.3841789698053617e-7,147
221,2.3841823804104934e-7,146
222,2.3841823804104934e-7,145
223,2.3841835172788706e-7,144
224,2.3841835172788706e-7,143
225,2.3841835172788706e-7,142
226,2.3841835172788706e-7,141
227,2.3841840857130592e-7,140
228,2.3841840857130592e-7,139
229,2.3841840857130592e-7,138
230,2.3841846541472478e-7,137
231,2.3841846541472478e-7,136
232,2.3841846541472478e-7,135
233,2.3841846541472478e-7,134
234,2.3841846541472478e-7,133
235,2.3841846541472478e-7,132
236,2.3841846541472478e-7,131
237,2.384184938364342e-7,130
238,2.384184938364342e-7,129
239,2.384184938364342e-7,128
240,2.384184938364342e-7,127
241,2.3841852225814364e-7,126
242,2.3841852225814364e-7,125
243,2.3841852225814364e-7,124
244,2.3841852225814364e-7,123
245,2.3841852225814364e-7,122
246,2.3841852225814364e-7,121
247,2.3841852225814364e-7,120
248,2.3841852225814364e-7,119
249,2.3841855067985307e-7,118
250,2.3841855067985307e-7,117
251,2.3841855067985307e-7,116
252,2.3841855067985307e-7,115
253,3.576255949155893e-7,114
254,3.5762730021815514e-7,113
255,3.576275275918306e-7,112
256,3.576275275918306e-7,111
257,3.576276412786683e-7,110
258,3.576276412786683e-7,109
259,3.5762769812208717e-7,108
260,3.576277265437966e-7,107
261,3.576277265437966e-7,106
262,3.576277265437966e-7,105
263,3.576278118089249e-7,104
264,3.576278118089249e-7,103
265,4.7683261072961614e-7,102
266,4.768344297190197e-7,101
267,4.7683488446637057e-7,100
268,4.768355665873969e-7,99
269,4.768360213347478e-7,98
270,4.7683647608209867e-7,97
271,4.7683681714261184e-7,96
272,4.7683681714261184e-7,95
273,4.768368739860307e-7,94
274,4.768369876728684e-7,93
275,4.768369876728684e-7,92
276,4.768369876728684e-7,91
277,4.768369876728684e-7,90
278,4.768370445162873e-7,89
279,5.960423550277483e-7,88
280,5.960448561381781e-7,87
281,5.960457656328799e-7,86
282,5.960457656328799e-7,85
283,5.960460498499742e-7,84
284,5.960460498499742e-7,83
