,Simplification Threshold,Count
152,1.1920926112907182e-7,207
153,1.1920926112907182e-7,206
154,1.1920926112907182e-7,205
155,1.1920926112907182e-7,204
156,1.1920926823449918e-7,203
157,1.1920926823449918e-7,202
158,1.1920926823449918e-7,201
159,1.1920926823449918e-7,200
160,1.1920926823449918e-7,199
161,1.1920926823449918e-7,198
162,1.1920926823449918e-7,197
163,1.1920926823449918e-7,196
164,1.1920926823449918e-7,195
165,1.1920926823449918e-7,194
166,1.1920926823449918e-7,193
167,1.1920926823449918e-7,192
168,1.1920926823449918e-7,191
169,1.1920926823449918e-7,190
170,1.1920926823449918e-7,189
171,1.1920926823449918e-7,188
172,1.1920926823449918e-7,187
173,1.1920928244535389e-7,186
174,1.1920928244535389e-7,185
175,1.1920928244535389e-7,184
176,1.1920928244535389e-7,183
177,1.1920928244535389e-7,182
178,1.1920928244535389e-7,181
179,1.1920928244535389e-7,180
180,1.1920928244535389e-7,179
181,1.1920928244535389e-7,178
182,1.1920928244535389e-7,177
183,1.1920928244535389e-7,176
184,1.1920928244535389e-7,175
185,1.1920928244535389e-7,174
186,1.1920928244535389e-7,173
187,1.1920928244535389e-7,172
188,1.1920928244535389e-7,171
189,1.1920928244535389e-7,170
190,1.1920928244535389e-7,169
191,1.1920928244535389e-7,168
192,1.1920928244535389e-7,167
193,1.1920928244535389e-7,166
194,1.1920928244535389e-7,165
195,1.1920928244535389e-7,164
196,1.1920928244535389e-7,163
197,2.384149411227554e-7,162
198,2.3841789698053617e-7,161
199,2.3841823804104934e-7,160
200,2.3841823804104934e-7,159
201,2.3841823804104934e-7,158
202,2.3841823804104934e-7,157
203,2.3841823804104934e-7,156
204,2.3841835172788706e-7,155
205,2.3841846541472478e-7,154
206,2.3841846541472478e-7,153
207,2.3841846541472478e-7,152
208,2.3841846541472478e-7,151
209,2.384184938364342e-7,150
210,2.384184938364342e-7,149
211,2.384184938364342e-7,148
212,2.3841852225814364e-7,147
213,2.3841852225814364e-7,146
214,2.3841852225814364e-7,145
215,2.3841852225814364e-7,144
216,2.3841855067985307e-7,143
217,2.3841855067985307e-7,142
218,2.3841855067985307e-7,141
219,3.576133167371154e-7,140
220,3.5762741390499286e-7,139
221,3.5762741390499286e-7,138
222,3.5762741390499286e-7,137
223,3.576275275918306e-7,136
224,3.5762775496550603e-7,135
225,3.576278118089249e-7,134
226,4.7683261072961614e-7,133
227,4.7683261072961614e-7,132
228,4.768335202243179e-7,131
229,4.7683488446637057e-7,130
230,4.7683533921372145e-7,129
231,4.7683624870842323e-7,128
232,4.7683636239526095e-7,127
233,4.7683647608209867e-7,126
234,4.7683647608209867e-7,125
235,4.7683647608209867e-7,124
236,4.768367034557741e-7,123
237,4.768367034557741e-7,122
238,4.76836760299193e-7,121
239,4.76836760299193e-7,120
240,4.7683681714261184e-7,119
241,4.768368739860307e-7,118
242,4.768369876728684e-7,117
243,4.768369876728684e-7,116
244,4.768370445162873e-7,115
245,5.960409907856956e-7,114
246,5.9604326452245e-7,113
247,5.960444013908273e-7,112
248,5.960446287645027e-7,111
249,5.960448561381781e-7,110
250,5.960448561381781e-7,109
251,5.96045310885529e-7,108
252,5.960456519460422e-7,107
253,5.960457656328799e-7,106
254,5.960459361631365e-7,105
255,5.960459361631365e-7,104
256,5.960461066933931e-7,103
257,5.960461066933931e-7,102
258,5.960462203802308e-7,101
259,7.152525540732313e-7,100
260,7.152536909416085e-7,99
261,7.152549983402423e-7,98
262,7.152551688704989e-7,97
263,7.152555099310121e-7,96
264,7.152555099310121e-7,95
265,8.344486559508368e-7,94
266,8.344522939296439e-7,93
267,8.344568414031528e-7,92
268,8.344595698872581e-7,91
269,8.344644584212801e-7,90
270,8.344645721081179e-7,89
271,8.344646857949556e-7,88
272,9.536634024698287e-7,87
273,9.536634024698287e-7,86
274,9.536688594380394e-7,85
275,9.536697689327411e-7,84
276,9.536727247905219e-7,83
277,9.536727247905219e-7,82
278,9.536732363812916e-7,81
279,9.536734637549671e-7,80
280,9.536736342852237e-7,79
281,0.000001072876329999417,78
282,0.0000010728806500992505,77
283,0.0000010728822417149786,76
284,0.0000010728826964623295,75
285,0.000001192082891066093,74
286,0.0000011920856195501983,73
287,0.0000011920916449525976,72
288,0.000001311293544858927,71
289,0.0000013112980923324358,70
290,0.0000013112996839481639,69
291,0.000001311301275563892,68
292,0.0000014304769138107076,67
293,0.0000014305071545095416,66
294,0.000001430507836630568,65
295,0.0000014305080640042434,64
296,0.0000014305104514278355,63
297,0.0000015497125787078403,62
298,0.0000016689109543222003,61
299,0.0000016689209587639198,60
300,0.0000016689270978531567,59
301,0.0000017881084204418585,58
302,0.0000017881211533676833,57
303,0.000001788126610335894,56
304,0.0000017881347957882099,55
305,0.000001907332261907868,54
306,0.0000019073468138230965,53
307,0.0000021457503862620797,52
308,0.0000021457522052514832,51
309,0.0000021457522052514832,50
310,0.000002145757207472343,49
311,0.000002264967406517826,48
312,0.000002384069375693798,47
