dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,neighborhood_purity,knn_accuracy,train_acc,val_acc
cifar,val,resnet,174,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e174.pt,5,10000,10,,,,6.983062906610385,3.6538542895308894,-0.0649230789687105,,,0.94108,0.8231
cifar,val,resnet,26,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e26.pt,5,10000,10,,,,14.002125266037517,5.006085656729515,-0.0680081600438836,,,0.90542,0.8156
cifar,val,resnet,59,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e59.pt,5,10000,10,,,,12.614460082401198,5.47799322888528,-0.0844316961473042,,,0.97358,0.8412
cifar,val,resnet,91,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e91.pt,5,10000,10,,,,10.107017895357778,4.188066675633782,-0.0734021882229145,,,0.93428,0.8236
mnist,train,resnet,122,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e122.pt,5,60000,10,,,,28.701713282689667,25.45946672212985,-0.0920681145266449,,,0.99995,0.9791
mnist,train,resnet,155,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e155.pt,5,60000,10,,,,28.90627206488192,26.080950382319163,-0.0921951219200262,,,0.9999833333333333,0.9801
mnist,train,resnet,188,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e188.pt,5,60000,10,,,,29.28410608475048,26.75861753615165,-0.0940839930337535,,,1.0,0.9806
mnist,train,resnet,4,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e4.pt,5,60000,10,,,,23.14882597959891,16.127341938123056,-0.0828831048087083,,,0.9503166666666667,0.9468
mnist,train,resnet,72,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e72.pt,5,60000,10,,,,27.721947250427423,24.15448783130395,-0.0920403086985165,,,0.9984166666666666,0.9769
mnist,trainUval,resnet,103,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e103.pt,5,70000,10,,,,28.38868740190991,25.56635957956027,-0.0911171300189163,,,0.9998833333333333,0.9797
mnist,trainUval,resnet,136,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e136.pt,5,70000,10,,,,28.74359696865403,25.736033700304752,-0.0928073135201561,,,0.99995,0.9799
mnist,trainUval,resnet,169,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e169.pt,5,70000,10,,,,29.13282015889741,26.489728216687123,-0.0926028327634591,,,0.9999833333333333,0.9802
mnist,trainUval,resnet,200,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e200.pt,5,70000,10,,,,29.238701716888844,26.72531691758416,-0.0947856421355966,,,1.0,0.9805
mnist,trainUval,resnet,53,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e53.pt,5,70000,10,,,,27.586437901144865,23.7620973901364,-0.0900784188051999,,,0.9976166666666667,0.9767
mnist,trainUval,resnet,86,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e86.pt,5,70000,10,,,,28.24376972285106,24.7014508521354,-0.0906300377802866,,,0.9996,0.9793
mnist,val,resnet,117,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e117.pt,5,10000,10,,,,28.637189572280658,25.67200263864438,-0.090982559574312,,,0.99995,0.9795
mnist,val,resnet,15,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e15.pt,5,10000,10,,,,26.054978164090205,22.06020580105244,-0.0864209821254765,,,0.9777166666666667,0.9677
mnist,val,resnet,182,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e182.pt,5,10000,10,,,,28.98246129624712,25.87501254485292,-0.0936368587283436,,,1.0,0.9807
