dataset,split,model,layer,epoch,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,train_acc,val_acc
cifar,val,resnet,a1,174,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e174.pt,5,10000,10,7.467466495313464,10.257293446918242,0.7280152931138995,6.983062906610385,3.6538542895308894,-0.0649230789687105,0.94108,0.8231
cifar,val,resnet,a1,26,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e26.pt,5,10000,10,18.26091378623695,22.85081446323564,0.7991362327857803,14.002125266037517,5.006085656729515,-0.0680081600438836,0.90542,0.8156
cifar,val,resnet,a1,59,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e59.pt,5,10000,10,15.697063834100303,20.133097041622285,0.7796646388605231,12.614460082401198,5.47799322888528,-0.0844316961473042,0.97358,0.8412
cifar,val,resnet,a1,91,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e91.pt,5,10000,10,11.454468506454816,15.283601575047872,0.7494613393452674,10.107017895357778,4.188066675633782,-0.0734021882229145,0.93428,0.8236
mnist,train,resnet,a1,122,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e122.pt,5,60000,10,25.165591657507026,38.1875259059768,0.6590003164768605,28.701713282689667,25.45946672212985,-0.0920681145266449,0.99995,0.9791
mnist,train,resnet,a1,155,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e155.pt,5,60000,10,25.09291959014334,38.28651541674855,0.6553983645940881,28.90627206488192,26.080950382319163,-0.0921951219200262,0.9999833333333332,0.9801
mnist,train,resnet,a1,188,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e188.pt,5,60000,10,24.81674954800132,38.38704008619126,0.646487707629443,29.28410608475048,26.75861753615165,-0.0940839930337535,1.0,0.9806
mnist,train,resnet,a1,4,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e4.pt,5,60000,10,26.891499218390603,35.53404020516547,0.7567813584699404,23.14882597959891,16.127341938123056,-0.0828831048087083,0.9503166666666668,0.9468
mnist,train,resnet,a1,72,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/train/a1_e72.pt,5,60000,10,25.60106598781186,37.752362953563015,0.6781314859496939,27.721947250427423,24.15448783130395,-0.0920403086985165,0.9984166666666666,0.9769
mnist,trainUval,resnet,a1,103,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e103.pt,5,70000,10,25.268385068434764,37.97395649601904,0.6654135465469275,28.38868740190991,25.56635957956027,-0.0911171300189163,0.9998833333333332,0.9797
