dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,trainUval,densenet,166,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e166.pt,5,60000,10,,,,,,,,0.8832576522814368,0.9429666666666666,0.8804209675043635,0.94295,0.8778595752965545,0.9425,0.8759985744820786,0.9420666666666668,0.8741954421275384,0.9414833333333332,0.8726952216614464,0.9408166666666666,0.8714278181946291,0.9406833333333332,0.8680638157974454,0.9399166666666666,0.8643943921398757,0.93935,0.9286,0.8119
cifar,trainUval,densenet,188,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e188.pt,5,60000,10,,,,,,,,0.9241614099185392,0.9615,0.9226117612255288,0.9612666666666668,0.9213532644921928,0.9612666666666668,0.9203846785339908,0.9614833333333334,0.9194485104118691,0.9612833333333334,0.9187110572181234,0.9609666666666666,0.9180421875924104,0.96095,0.9161988285904212,0.9608333333333332,0.9142970178926028,0.96045,0.96992,0.8433
cifar,trainUval,densenet,29,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e29.pt,5,60000,10,,,,,,,,0.8006002451501921,0.8924166666666666,0.7967921395170348,0.8941833333333333,0.7938036635203345,0.8943333333333333,0.7911998960432856,0.8950166666666667,0.788993980191621,0.89485,0.7870364378882402,0.8954833333333333,0.7852512085343297,0.89585,0.780463588137963,0.8959666666666667,0.7754923772186262,0.8956666666666667,0.93514,0.8209
cifar,trainUval,densenet,50,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e50.pt,5,60000,10,,,,,,,,0.8492358599363314,0.9289,0.8457974512280348,0.9291666666666668,0.8428533723107876,0.9293166666666668,0.8404802845830305,0.9295166666666668,0.8383862073876392,0.9301333333333334,0.8362316375217388,0.9297833333333332,0.8344389774008475,0.92915,0.8296255793653512,0.92905,0.8244531721934905,0.9287833333333332,0.94478,0.8269
cifar,trainUval,densenet,72,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e72.pt,5,60000,10,,,,,,,,0.8158576075475695,0.9064166666666666,0.8114512872903036,0.90655,0.8078801932845723,0.9063666666666668,0.8048620983781016,0.90585,0.8020856972846828,0.906,0.7998620262849637,0.906,0.7976988100926036,0.9053166666666668,0.7923439984131792,0.9041666666666668,0.786552923439617,0.9039833333333334,0.9068,0.8019
cifar,trainUval,densenet,94,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e94.pt,5,60000,10,,,,,,,,0.8903606187642472,0.9490666666666666,0.8877640725935371,0.9499,0.885305553084729,0.9496,0.8833316071407779,0.95,0.8816096744656942,0.9496666666666668,0.8800901807022434,0.9494666666666668,0.8786345462143753,0.9492666666666668,0.8749672947001217,0.9488833333333332,0.8711410274594985,0.9483333333333334,0.95706,0.8313
cifar,train,densenet,114,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e114.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.99168,0.855
cifar,train,densenet,136,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e136.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998,0.8732
cifar,train,densenet,158,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e158.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.94334,0.8281
cifar,train,densenet,18,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e18.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.8368,0.7736
