dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
cifar,0.15,train,vgg,200,a3,,,50000,10,,,,,,,,0.8458063369039114,0.92674,0.96344,0.8114
cifar,0.2,train,vgg,200,a6,,,50000,10,,,,,,,,0.2470932162710348,0.29638,0.9542,0.79
cifar,0.25,trainUval,vgg,200,a2,,,60000,10,,,,,,,,0.7824309048752618,0.8666166666666667,0.94366,0.7326
cifar,0.3,trainUval,vgg,200,a5,,,60000,10,,,,,,,,0.3721266405661016,0.4620166666666667,0.92966,0.7058
cifar,0.35,val,vgg,200,a1,,,10000,10,,,,,,,,0.5457262799614644,0.6962,0.90418,0.6512
cifar,0.4,val,vgg,200,a4,,,10000,10,,,,,,,,0.386605147441168,0.5367,0.89634,0.6153
cifar,0.45,val,vgg,200,a7,,,10000,10,,,,,,,,0.2129642712258306,0.3092,0.87902,0.5818
cifar,0.6,train,vgg,200,a3,,,50000,10,,,,,,,,0.5434523740520403,0.73452,0.8331,0.4654
cifar,0.7,train,vgg,200,a6,,,50000,10,,,,,,,,0.237107767845056,0.2918,0.82944,0.3394
cifar,0.8,trainUval,vgg,200,a2,,,60000,10,,,,,,,,0.285827213431645,0.46205,0.81076,0.2388
cifar,0.9,trainUval,vgg,200,a5,,,60000,10,,,,,,,,0.310814436728055,0.4629333333333333,0.68164,0.1617
cifar,1.0,val,vgg,200,a1,,,10000,10,,,,,,,,0.1325980607298158,0.1896,,
cifar,0.0,val,densenet,200,a3,,,10000,10,,,,,,,,0.6065595899366232,0.7948,,
cifar,0.05,val,densenet,200,a3,,,10000,10,,,,,,,,0.5900201614149851,0.7831,0.99688,0.8074
cifar,0.1,val,densenet,200,a3,,,10000,10,,,,,,,,0.5600313055980267,0.7576,0.9955,0.7726
cifar,0.15,val,densenet,200,a3,,,10000,10,,,,,,,,0.5463512131290087,0.7523,0.99446,0.7457
cifar,0.2,val,densenet,200,a3,,,10000,10,,,,,,,,0.5226237295141026,0.7315,0.9943,0.7188
cifar,0.25,val,densenet,200,a3,,,10000,10,,,,,,,,0.5033119261832886,0.719,0.99266,0.6933
cifar,0.3,val,densenet,200,a3,,,10000,10,,,,,,,,0.4931216925849028,0.7061,0.99006,0.6528
cifar,0.35,val,densenet,200,a3,,,10000,10,,,,,,,,0.4769207030629375,0.6952,0.99074,0.6086
cifar,0.4,val,densenet,200,a3,,,10000,10,,,,,,,,0.4695280140467492,0.6847,0.98562,0.5638
cifar,0.45,val,densenet,200,a3,,,10000,10,,,,,,,,0.4451325169029,0.6653,0.98492,0.5336
cifar,0.5,val,densenet,200,a3,,,10000,10,,,,,,,,0.4369252123625056,0.6605,0.98472,0.5092
cifar,0.6,val,densenet,200,a3,,,10000,10,,,,,,,,0.4052786576687706,0.6196,0.98172,0.4162
cifar,0.7,val,densenet,200,a3,,,10000,10,,,,,,,,0.3703875878986617,0.5743,0.97752,0.3136
cifar,0.8,val,densenet,200,a3,,,10000,10,,,,,,,,0.3345576074417646,0.5313,0.9608,0.2218
cifar,0.9,val,densenet,200,a3,,,10000,10,,,,,,,,0.2997478362511898,0.4888,0.94792,0.1563
cifar,1.0,val,densenet,200,a3,,,10000,10,,,,,,,,0.2827869467014974,0.4575,,
cifar,0.05,train,resnet,200,a4,,,50000,10,,,,,,,,0.5316249602686228,0.74068,0.99416,0.8047
cifar,0.1,val,resnet,200,a3,,,10000,10,,,,,,,,0.5375524581764413,0.7548,0.99212,0.7727
cifar,0.2,trainUval,resnet,200,a2,,,60000,10,,,,,,,,0.6587545168921626,0.8363666666666667,0.98526,0.7109
cifar,0.3,train,resnet,200,a1,,,50000,10,,,,,,,,0.7489400037507236,0.86676,0.98254,0.6435
cifar,0.35,trainUval,resnet,200,a5,,,60000,10,,,,,,,,0.3980325638060084,0.5999666666666666,0.9776,0.5994
cifar,0.45,train,resnet,200,a4,,,50000,10,,,,,,,,0.4748572181582163,0.6903,0.97488,0.5223
cifar,0.5,val,resnet,200,a3,,,10000,10,,,,,,,,0.4249330740084071,0.6473,0.97576,0.4941
cifar,0.7,trainUval,resnet,200,a2,,,60000,10,,,,,,,,0.4408416905706144,0.64495,0.95682,0.3214
cifar,0.9,train,resnet,200,a1,,,50000,10,,,,,,,,0.2760449701716703,0.46506,0.92046,0.158
cifar,1.0,trainUval,resnet,200,a5,,,60000,10,,,,,,,,0.3264446805266986,0.51475,,
cifar,0.0,val,vgg,200,a5,,,10000,10,,,,,,,,0.2944694285055995,0.3706,,
cifar,0.1,train,vgg,200,a1,,,50000,10,,,,,,,,0.87998865663664,0.92474,0.98082,0.8442
cifar,0.15,train,vgg,200,a4,,,50000,10,,,,,,,,0.566313950389169,0.6842,0.96344,0.8114
cifar,0.2,train,vgg,200,a7,,,50000,10,,,,,,,,0.2490614146275657,0.35652,0.9542,0.79
cifar,0.25,trainUval,vgg,200,a3,,,60000,10,,,,,,,,0.7665877047665922,0.8777,0.94366,0.7326
cifar,0.3,trainUval,vgg,200,a6,,,60000,10,,,,,,,,0.2525719890895483,0.3029333333333333,0.92966,0.7058
cifar,0.35,val,vgg,200,a2,,,10000,10,,,,,,,,0.5978628389259975,0.7456,0.90418,0.6512
cifar,0.4,val,vgg,200,a5,,,10000,10,,,,,,,,0.2760280721718248,0.3519,0.89634,0.6153
cifar,0.5,train,vgg,200,a1,,,50000,10,,,,,,,,0.4959410863414999,0.66424,0.86394,0.5262
cifar,0.6,train,vgg,200,a4,,,50000,10,,,,,,,,0.4431919689236954,0.59422,0.8331,0.4654
cifar,0.7,train,vgg,200,a7,,,50000,10,,,,,,,,0.2490614146275657,0.35652,0.82944,0.3394
cifar,0.8,trainUval,vgg,200,a3,,,60000,10,,,,,,,,0.4005822560263672,0.59785,0.81076,0.2388
cifar,0.9,trainUval,vgg,200,a6,,,60000,10,,,,,,,,0.2786477700099903,0.3936333333333333,0.68164,0.1617
cifar,1.0,val,vgg,200,a2,,,10000,10,,,,,,,,0.1659210780122958,0.2713,,
cifar,0.0,val,densenet,200,a4,,,10000,10,,,,,,,,0.5840157240992542,0.7827,,
cifar,0.05,val,densenet,200,a4,,,10000,10,,,,,,,,0.5640841104017179,0.7713,0.99688,0.8074
cifar,0.1,val,densenet,200,a4,,,10000,10,,,,,,,,0.5334094009384399,0.7439,0.9955,0.7726
cifar,0.15,val,densenet,200,a4,,,10000,10,,,,,,,,0.5265950013763919,0.7432,0.99446,0.7457
