dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,silhouette_score,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,0.0,train,densenet,151,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e151.pt,5,50000,10,,,,,,,0.1480920868324848,,,,,,,,,,,,,,,,,,,,,0.9184,0.8183
cifar,0.0,train,densenet,173,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e173.pt,5,50000,10,,,,,,,0.2085749511665885,,,,,,,,,,,,,,,,,,,,,0.95934,0.8405
cifar,0.0,train,densenet,195,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e195.pt,5,50000,10,,,,,,,0.2466518409172695,,,,,,,,,,,,,,,,,,,,,0.96688,0.8416
cifar,0.0,train,densenet,36,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e36.pt,5,50000,10,,,,,,,0.0620381146468467,,,,,,,,,,,,,,,,,,,,,0.86354,0.788
cifar,0.0,train,densenet,58,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e58.pt,5,50000,10,,,,,,,0.1370097873511321,,,,,,,,,,,,,,,,,,,,,0.9878,0.843
cifar,0.0,train,densenet,8,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e8.pt,5,50000,10,,,,,,,0.0294079909842491,,,,,,,,,,,,,,,,,,,,,0.78604,0.7322
cifar,0.0,val,densenet,10,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e10.pt,5,10000,10,,,,,,,0.025268789210756,,,,,,,,,,,,,,,,,,,,,0.80224,0.7419
cifar,0.0,val,densenet,121,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e121.pt,5,10000,10,,,,,,,0.1668985950442389,,,,,,,,,,,,,,,,,,,,,0.99748,0.8646
cifar,0.0,val,densenet,143,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e143.pt,5,10000,10,,,,,,,0.1939007528059111,,,,,,,,,,,,,,,,,,,,,0.99988,0.8755
cifar,0.0,val,densenet,165,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e165.pt,5,10000,10,,,,,,,0.1423747259266559,,,,,,,,,,,,,,,,,,,,,0.9545,0.8387
