dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
mnist,val,densenet,20,9,a1,1e-07,1e-07,36,1.9444444444444444,60.0,1,316.0,104.0,1.6666666666666667,0.027777777777777776,8.777777777777779,2.888888888888889,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a2,1e-07,1e-07,47,2.0,170.0,2,1112.0,186.0,3.617021276595745,0.0425531914893617,23.659574468085108,3.9574468085106385,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a3,1e-07,1e-07,60,1.9666666666666666,224.0,1,1504.0,236.0,3.7333333333333334,0.016666666666666666,25.066666666666666,3.933333333333333,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a4,1e-07,1e-07,56,1.9642857142857142,274.0,1,1738.0,247.0,4.892857142857143,0.017857142857142856,31.035714285714285,4.410714285714286,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a5,1e-07,1e-07,87,2.0476190476190474,,4,3888.0,411.0,,0.04597701149425287,44.689655172413794,4.724137931034483,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a6,1e-07,1e-07,113,2.0,631.0,2,6540.0,600.0,5.584070796460177,0.017699115044247787,57.876106194690266,5.3097345132743365,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a7,1e-07,1e-07,108,2.018867924528302,942.0,3,11849.0,754.0,8.722222222222221,0.027777777777777776,109.71296296296296,6.981481481481482,0.9940833333333333,0.9891
mnist,val,densenet,20,9,a8,1e-07,1e-07,105,2.0392156862745097,,4,17949.0,1005.0,,0.0380952380952381,170.94285714285715,9.571428571428571,0.9940833333333333,0.9891
cifar,train,resnet,20,30,a1,1e-07,1e-07,107,2.0384615384615383,,4,5312.0,569.0,,0.037383177570093455,49.64485981308411,5.317757009345795,0.97678,0.7454
cifar,train,resnet,20,30,a2,1e-07,1e-07,763,2.076294277929155,,29,7081233.0,47972.0,,0.03800786369593709,9280.777195281782,62.87287024901704,0.97678,0.7454
cifar,train,resnet,20,30,a3,1e-07,1e-07,2080,2.2140575079872202,,141,204898199.0,531220.0,,0.06778846153846153,98508.74951923077,255.39423076923077,0.97678,0.7454
cifar,train,resnet,20,30,a4,1e-07,1e-07,1995,2.188803512623491,,122,178024064.0,488030.0,,0.061152882205513785,89235.11979949875,244.6265664160401,0.97678,0.7454
