dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
mnist,val,densenet,20,11,a1,2.3841766960686073e-07,valley=2classes,40,1.95,136.0,1,577.0,144.0,0.98765,0.9825
mnist,val,densenet,20,12,a1,1.1920917586394353e-07,valley=2classes,40,1.95,44.0,1,365.0,114.0,0.9868333333333333,0.978
mnist,val,densenet,20,13,a1,0.0,valley=2classes,92,2.0681818181818183,,5,6335.0,531.0,0.9907833333333333,0.9863
mnist,val,densenet,20,14,a1,7.152393664000556e-07,valley=2classes,39,2.0,100.0,2,638.0,136.0,0.9939,0.9902
mnist,val,densenet,20,15,a1,1.1920883480343036e-07,valley=2classes,37,2.0,98.0,2,448.0,122.0,0.99135,0.9851
mnist,val,densenet,20,1,a1,1.1920923270736239e-07,valley=2classes,40,1.95,92.0,1,497.0,128.0,0.9468,0.9424
mnist,val,densenet,20,2,a1,1.1920906217710581e-07,valley=2classes,40,1.95,162.0,1,722.0,153.0,0.9785,0.976
mnist,val,densenet,20,3,a1,1.1920923270736239e-07,valley=2classes,40,1.95,114.0,1,539.0,135.0,0.9830666666666666,0.98
mnist,val,densenet,20,4,a1,5.960337148280814e-07,valley=2classes,40,1.95,106.0,1,491.0,131.0,0.9876166666666667,0.9865
mnist,val,densenet,20,5,a1,1.1920923270736239e-07,valley=2classes,38,1.9473684210526316,146.0,1,693.0,144.0,0.9910166666666667,0.9883
mnist,val,densenet,20,6,a1,2.3841721485950984e-07,valley=2classes,40,1.95,136.0,1,610.0,142.0,0.9916333333333334,0.9882
mnist,val,densenet,20,7,a1,0.0,valley=2classes,143,2.0285714285714285,,4,19257.0,1057.0,0.9882,0.9853
mnist,val,densenet,20,8,a1,2.3841812435421161e-07,valley=2classes,40,1.95,120.0,1,679.0,142.0,0.9929166666666667,0.9887
mnist,val,densenet,20,9,a1,0.0,valley=2classes,105,2.0392156862745097,,4,4189.0,471.0,0.9940833333333333,0.9891
cifar,train,resnet,20,0,a1,0.9353439807891846,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.1,0.1
cifar,train,resnet,20,12,a1,0.00012354523641988635,valley=2classes,40,1.95,190.0,1,845.0,167.0,0.93352,0.7355
cifar,train,resnet,20,15,a1,1.2630072887986898e-05,valley=2classes,40,1.95,112.0,1,613.0,138.0,0.9403,0.7192
cifar,train,resnet,20,18,a1,2.1098941942909732e-05,valley=2classes,40,1.95,152.0,1,786.0,156.0,0.95238,0.7201
cifar,train,resnet,20,21,a1,2.622577994770836e-06,valley=2classes,40,1.95,104.0,1,497.0,130.0,0.96878,0.7343
cifar,train,resnet,20,24,a1,1.7881377516459906e-06,valley=2classes,40,1.95,140.0,1,644.0,144.0,0.96746,0.7267
cifar,train,resnet,20,27,a1,1.5497172398681869e-06,valley=2classes,40,1.95,118.0,1,533.0,137.0,0.9736,0.7302
cifar,train,resnet,20,30,a1,1.3112308806739748e-05,valley=2classes,40,1.95,102.0,1,528.0,135.0,0.97678,0.7454
cifar,train,resnet,20,33,a1,3.5762709558184724e-06,valley=2classes,40,1.95,82.0,1,466.0,123.0,0.98052,0.7376
cifar,train,resnet,20,36,a1,3.2186035241466016e-06,valley=2classes,40,1.95,212.0,1,850.0,174.0,0.97656,0.737
cifar,train,resnet,20,39,a1,4.053057637065649e-06,valley=2classes,40,1.95,130.0,1,594.0,141.0,0.97666,0.7365
cifar,train,resnet,20,3,a1,0.08880454301834106,valley=2classes,40,1.95,332.0,1,1321.0,226.0,0.64486,0.6114
cifar,train,resnet,20,42,a1,8.225262718042359e-06,valley=2classes,40,1.95,132.0,1,654.0,144.0,0.9776,0.7333
cifar,train,resnet,20,45,a1,2.2649685433862032e-06,valley=2classes,40,1.95,158.0,1,702.0,153.0,0.98306,0.742
cifar,train,resnet,20,48,a1,1.192091872326273e-06,valley=2classes,40,1.95,78.0,1,421.0,125.0,0.97982,0.7308
cifar,train,resnet,20,6,a1,0.006398775614798069,valley=2classes,40,1.95,254.0,1,1134.0,195.0,0.78514,0.692
cifar,train,resnet,20,9,a1,0.0008575338870286942,valley=2classes,39,2.0,177.0,2,843.0,163.0,0.88314,0.7137
cifar,trainUval,resnet,20,0,a1,0.9697294235229492,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.1,0.1
cifar,trainUval,resnet,20,12,a1,3.3732925658114254e-05,valley=2classes,40,1.95,156.0,1,725.0,154.0,0.93352,0.7355
cifar,trainUval,resnet,20,15,a1,1.597237860551104e-05,valley=2classes,40,1.95,150.0,1,749.0,151.0,0.9403,0.7192
cifar,trainUval,resnet,20,18,a1,2.300107735209167e-05,valley=2classes,40,1.95,166.0,1,806.0,161.0,0.95238,0.7201
cifar,trainUval,resnet,20,21,a1,3.0994292501418386e-06,valley=2classes,40,1.95,138.0,1,621.0,143.0,0.96878,0.7343
cifar,trainUval,resnet,20,24,a1,2.0265215425752103e-06,valley=2classes,40,1.95,146.0,1,674.0,147.0,0.96746,0.7267
cifar,trainUval,resnet,20,27,a1,1.072880877472926e-06,valley=2classes,40,1.95,104.0,1,519.0,134.0,0.9736,0.7302
cifar,trainUval,resnet,20,30,a1,2.1099061996210366e-05,valley=2classes,40,1.95,108.0,1,536.0,136.0,0.97678,0.7454
cifar,trainUval,resnet,20,33,a1,6.675349141005427e-06,valley=2classes,40,1.95,118.0,1,577.0,137.0,0.98052,0.7376
cifar,trainUval,resnet,20,36,a1,3.6954611459805164e-06,valley=2classes,40,1.95,216.0,1,877.0,176.0,0.97656,0.737
cifar,trainUval,resnet,20,39,a1,4.529942543740617e-06,valley=2classes,40,1.95,54.0,1,384.0,117.0,0.97666,0.7365
cifar,trainUval,resnet,20,3,a1,0.08522665500640869,valley=2classes,40,1.95,328.0,1,1310.0,224.0,0.64486,0.6114
cifar,trainUval,resnet,20,42,a1,8.225262718042359e-06,valley=2classes,40,1.95,166.0,1,795.0,159.0,0.9776,0.7333
cifar,trainUval,resnet,20,45,a1,2.6225941383017926e-06,valley=2classes,40,1.95,162.0,1,714.0,153.0,0.98306,0.742
cifar,trainUval,resnet,20,48,a1,9.536734069115482e-07,valley=2classes,40,1.95,112.0,1,581.0,138.0,0.97982,0.7308
cifar,trainUval,resnet,20,6,a1,0.01096668466925621,valley=2classes,40,1.95,286.0,1,1238.0,209.0,0.78514,0.692
cifar,trainUval,resnet,20,9,a1,0.0002973191440105438,valley=2classes,40,1.95,168.0,1,836.0,160.0,0.88314,0.7137
cifar,val,resnet,20,0,a1,0.6635181903839111,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.1,0.1
