dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
mnist,train,densenet,20,2,a1,0.01,0.01,20,1.9,56.0,1,154.0,60.0,2.8,0.05,7.7,3.0,0.9785,0.976
mnist,train,densenet,20,3,a1,0.01,0.01,20,1.9,52.0,1,144.0,58.0,2.6,0.05,7.2,2.9,0.9830666666666666,0.98
mnist,train,densenet,20,4,a1,0.01,0.01,20,1.9,52.0,1,144.0,58.0,2.6,0.05,7.2,2.9,0.9876166666666667,0.9865
mnist,train,densenet,20,5,a1,0.01,0.01,18,1.8888888888888888,50.0,1,118.0,52.0,2.7777777777777777,0.05555555555555555,6.555555555555555,2.888888888888889,0.9910166666666667,0.9883
mnist,train,densenet,20,6,a1,0.01,0.01,20,1.9,28.0,1,106.0,50.0,1.4,0.05,5.3,2.5,0.9916333333333334,0.9882
mnist,train,densenet,20,7,a1,0.01,0.01,20,1.9,24.0,1,94.0,48.0,1.2,0.05,4.7,2.4,0.9882,0.9853
mnist,train,densenet,20,8,a1,0.01,0.01,20,1.9,14.0,1,78.0,45.0,0.7,0.05,3.9,2.25,0.9929166666666667,0.9887
mnist,train,densenet,20,9,a1,0.01,0.01,20,1.9,46.0,1,125.0,55.0,2.3,0.05,6.25,2.75,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,0,a1,0.01,0.01,383,2.0105263157894737,,4,1178293.0,18411.0,,0.010443864229765013,3076.4830287206264,48.070496083550914,0.0981,0.0961
mnist,trainUval,densenet,20,10,a1,0.01,0.01,20,1.9,36.0,1,115.0,52.0,1.8,0.05,5.75,2.6,0.9902,0.9851
mnist,trainUval,densenet,20,11,a1,0.01,0.01,18,1.8888888888888888,40.0,1,93.0,47.0,2.2222222222222223,0.05555555555555555,5.166666666666667,2.611111111111111,0.98765,0.9825
mnist,trainUval,densenet,20,12,a1,0.01,0.01,20,1.9,28.0,1,106.0,50.0,1.4,0.05,5.3,2.5,0.9868333333333333,0.978
mnist,trainUval,densenet,20,13,a1,0.01,0.01,20,1.9,66.0,1,163.0,63.0,3.3,0.05,8.15,3.15,0.9907833333333333,0.9863
mnist,trainUval,densenet,20,14,a1,0.01,0.01,18,1.8888888888888888,56.0,1,120.0,53.0,3.111111111111111,0.05555555555555555,6.666666666666667,2.9444444444444446,0.9939,0.9902
mnist,trainUval,densenet,20,15,a1,0.01,0.01,20,1.9,54.0,1,149.0,59.0,2.7,0.05,7.45,2.95,0.99135,0.9851
mnist,trainUval,densenet,20,1,a1,0.01,0.01,24,1.9166666666666667,98.0,1,272.0,85.0,4.083333333333333,0.041666666666666664,11.333333333333334,3.5416666666666665,0.9468,0.9424
mnist,trainUval,densenet,20,2,a1,0.01,0.01,20,1.9,46.0,1,125.0,55.0,2.3,0.05,6.25,2.75,0.9785,0.976
mnist,trainUval,densenet,20,3,a1,0.01,0.01,20,1.9,52.0,1,144.0,58.0,2.6,0.05,7.2,2.9,0.9830666666666666,0.98
mnist,trainUval,densenet,20,4,a1,0.01,0.01,20,1.9,72.0,1,165.0,64.0,3.6,0.05,8.25,3.2,0.9876166666666667,0.9865
mnist,trainUval,densenet,20,5,a1,0.01,0.01,18,1.8888888888888888,56.0,1,120.0,53.0,3.111111111111111,0.05555555555555555,6.666666666666667,2.9444444444444446,0.9910166666666667,0.9883
mnist,trainUval,densenet,20,6,a1,0.01,0.01,20,1.9,60.0,1,151.0,60.0,3.0,0.05,7.55,3.0,0.9916333333333334,0.9882
mnist,trainUval,densenet,20,7,a1,0.01,0.01,20,1.9,64.0,1,160.0,62.0,3.2,0.05,8.0,3.1,0.9882,0.9853
mnist,trainUval,densenet,20,8,a1,0.01,0.01,20,1.9,20.0,1,84.0,46.0,1.0,0.05,4.2,2.3,0.9929166666666667,0.9887
mnist,trainUval,densenet,20,9,a1,0.01,0.01,20,1.9,38.0,1,118.0,53.0,1.9,0.05,5.9,2.65,0.9940833333333333,0.9891
mnist,val,densenet,20,0,a1,0.01,0.01,62,2.033333333333333,698.0,3,4714.0,493.0,11.258064516129032,0.04838709677419355,76.03225806451613,7.951612903225806,0.0981,0.0961
mnist,val,densenet,20,10,a1,0.01,0.01,14,1.8571428571428572,22.0,1,51.0,32.0,1.5714285714285714,0.07142857142857142,3.642857142857143,2.2857142857142856,0.9902,0.9851
mnist,val,densenet,20,11,a1,0.01,0.01,16,1.875,18.0,1,52.0,35.0,1.125,0.0625,3.25,2.1875,0.98765,0.9825
mnist,val,densenet,20,12,a1,0.01,0.01,18,1.8888888888888888,12.0,1,61.0,39.0,0.6666666666666666,0.05555555555555555,3.388888888888889,2.1666666666666665,0.9868333333333333,0.978
mnist,val,densenet,20,13,a1,0.01,0.01,16,1.875,32.0,1,75.0,40.0,2.0,0.0625,4.6875,2.5,0.9907833333333333,0.9863
mnist,val,densenet,20,14,a1,0.01,0.01,19,2.0,28.0,2,118.0,50.0,1.4736842105263157,0.10526315789473684,6.2105263157894735,2.6315789473684212,0.9939,0.9902
mnist,val,densenet,20,15,a1,0.01,0.01,12,1.8333333333333333,12.0,1,30.0,24.0,1.0,0.08333333333333333,2.5,2.0,0.99135,0.9851
mnist,val,densenet,20,1,a1,0.01,0.01,20,1.9,46.0,1,129.0,55.0,2.3,0.05,6.45,2.75,0.9468,0.9424
mnist,val,densenet,20,2,a1,0.01,0.01,16,1.875,42.0,1,84.0,43.0,2.625,0.0625,5.25,2.6875,0.9785,0.976
mnist,val,densenet,20,3,a1,0.01,0.01,16,1.875,22.0,1,63.0,37.0,1.375,0.0625,3.9375,2.3125,0.9830666666666666,0.98
mnist,val,densenet,20,4,a1,0.01,0.01,20,1.9,54.0,1,130.0,57.0,2.7,0.05,6.5,2.85,0.9876166666666667,0.9865
mnist,val,densenet,20,5,a1,0.01,0.01,18,1.8888888888888888,56.0,1,120.0,53.0,3.111111111111111,0.05555555555555555,6.666666666666667,2.9444444444444446,0.9910166666666667,0.9883
mnist,val,densenet,20,6,a1,0.01,0.01,16,1.875,32.0,1,75.0,40.0,2.0,0.0625,4.6875,2.5,0.9916333333333334,0.9882
mnist,val,densenet,20,7,a1,0.01,0.01,16,1.875,42.0,1,84.0,43.0,2.625,0.0625,5.25,2.6875,0.9882,0.9853
mnist,val,densenet,20,8,a1,0.01,0.01,20,1.9,48.0,1,136.0,56.0,2.4,0.05,6.8,2.8,0.9929166666666667,0.9887
mnist,val,densenet,20,9,a1,0.01,0.01,16,1.875,6.0,1,46.0,33.0,0.375,0.0625,2.875,2.0625,0.9940833333333333,0.9891
cifar,train,resnet,20,0,a1,0.01,0.01,2139,2.104330708661417,,93,217986190.0,573841.0,,0.043478260869565216,101910.32725572698,268.27536231884056,0.1,0.1
cifar,train,resnet,20,12,a1,0.01,0.01,24,1.9166666666666667,98.0,1,272.0,85.0,4.083333333333333,0.041666666666666664,11.333333333333334,3.5416666666666665,0.93352,0.7355
cifar,train,resnet,20,15,a1,0.01,0.01,20,1.9,60.0,1,151.0,60.0,3.0,0.05,7.55,3.0,0.9403,0.7192
cifar,train,resnet,20,18,a1,0.01,0.01,18,1.8888888888888888,46.0,1,111.0,50.0,2.5555555555555554,0.05555555555555555,6.166666666666667,2.7777777777777777,0.95238,0.7201
cifar,train,resnet,20,21,a1,0.01,0.01,14,1.8571428571428572,22.0,1,51.0,32.0,1.5714285714285714,0.07142857142857142,3.642857142857143,2.2857142857142856,0.96878,0.7343
cifar,train,resnet,20,24,a1,0.01,0.01,10,1.8,12.0,1,20.0,19.0,1.2,0.1,2.0,1.9,0.96746,0.7267
cifar,train,resnet,20,27,a1,0.01,0.01,10,1.8,12.0,1,20.0,19.0,1.2,0.1,2.0,1.9,0.9736,0.7302
cifar,train,resnet,20,30,a1,0.01,0.01,12,1.8333333333333333,14.0,1,33.0,25.0,1.1666666666666667,0.08333333333333333,2.75,2.0833333333333335,0.97678,0.7454
cifar,train,resnet,20,33,a1,0.01,0.01,20,1.9,28.0,1,106.0,50.0,1.4,0.05,5.3,2.5,0.98052,0.7376
cifar,train,resnet,20,36,a1,0.01,0.01,14,1.8571428571428572,22.0,1,51.0,32.0,1.5714285714285714,0.07142857142857142,3.642857142857143,2.2857142857142856,0.97656,0.737
cifar,train,resnet,20,39,a1,0.01,0.01,16,1.875,28.0,1,64.0,38.0,1.75,0.0625,4.0,2.375,0.97666,0.7365
cifar,train,resnet,20,3,a1,0.01,0.01,100,1.98,2050.0,1,19247.0,1193.0,20.5,0.01,192.47,11.93,0.64486,0.6114
cifar,train,resnet,20,42,a1,0.01,0.01,12,1.8333333333333333,20.0,1,35.0,26.0,1.6666666666666667,0.08333333333333333,2.9166666666666665,2.1666666666666665,0.9776,0.7333
cifar,train,resnet,20,45,a1,0.01,0.01,20,1.9,52.0,1,146.0,58.0,2.6,0.05,7.3,2.9,0.98306,0.742
cifar,train,resnet,20,48,a1,0.01,0.01,18,1.8888888888888888,28.0,1,79.0,43.0,1.5555555555555556,0.05555555555555555,4.388888888888889,2.388888888888889,0.97982,0.7308
cifar,train,resnet,20,6,a1,0.01,0.01,38,1.9473684210526316,244.0,1,1021.0,185.0,6.421052631578948,0.02631578947368421,26.86842105263158,4.868421052631579,0.78514,0.692
cifar,train,resnet,20,9,a1,0.01,0.01,24,1.9166666666666667,94.0,1,259.0,83.0,3.9166666666666665,0.041666666666666664,10.791666666666666,3.4583333333333335,0.88314,0.7137
cifar,trainUval,resnet,20,0,a1,0.01,0.01,2508,2.128183361629881,,126,358929963.0,798317.0,,0.050239234449760764,143114.02033492824,318.30821371610847,0.1,0.1
cifar,trainUval,resnet,20,12,a1,0.01,0.01,24,1.9166666666666667,86.0,1,254.0,81.0,3.5833333333333335,0.041666666666666664,10.583333333333334,3.375,0.93352,0.7355
cifar,trainUval,resnet,20,15,a1,0.01,0.01,18,1.8888888888888888,48.0,1,115.0,51.0,2.6666666666666665,0.05555555555555555,6.388888888888889,2.8333333333333335,0.9403,0.7192
cifar,trainUval,resnet,20,18,a1,0.01,0.01,16,1.875,42.0,1,84.0,43.0,2.625,0.0625,5.25,2.6875,0.95238,0.7201
cifar,trainUval,resnet,20,21,a1,0.01,0.01,14,1.8571428571428572,22.0,1,51.0,32.0,1.5714285714285714,0.07142857142857142,3.642857142857143,2.2857142857142856,0.96878,0.7343
cifar,trainUval,resnet,20,24,a1,0.01,0.01,8,1.75,6.0,1,10.0,13.0,0.75,0.125,1.25,1.625,0.96746,0.7267
cifar,trainUval,resnet,20,27,a1,0.01,0.01,12,1.8333333333333333,20.0,1,35.0,26.0,1.6666666666666667,0.08333333333333333,2.9166666666666665,2.1666666666666665,0.9736,0.7302
cifar,trainUval,resnet,20,30,a1,0.01,0.01,14,1.8571428571428572,24.0,1,54.0,33.0,1.7142857142857142,0.07142857142857142,3.857142857142857,2.357142857142857,0.97678,0.7454
cifar,trainUval,resnet,20,33,a1,0.01,0.01,20,1.9,40.0,1,128.0,54.0,2.0,0.05,6.4,2.7,0.98052,0.7376
cifar,trainUval,resnet,20,36,a1,0.01,0.01,14,1.8571428571428572,30.0,1,56.0,34.0,2.142857142857143,0.07142857142857142,4.0,2.4285714285714284,0.97656,0.737
cifar,trainUval,resnet,20,39,a1,0.01,0.01,18,1.8888888888888888,28.0,1,79.0,43.0,1.5555555555555556,0.05555555555555555,4.388888888888889,2.388888888888889,0.97666,0.7365
cifar,trainUval,resnet,20,3,a1,0.01,0.01,106,1.9811320754716981,2308.0,1,22863.0,1331.0,21.77358490566038,0.009433962264150943,215.68867924528303,12.556603773584905,0.64486,0.6114
cifar,trainUval,resnet,20,42,a1,0.01,0.01,14,1.8571428571428572,30.0,1,56.0,34.0,2.142857142857143,0.07142857142857142,4.0,2.4285714285714284,0.9776,0.7333
cifar,trainUval,resnet,20,45,a1,0.01,0.01,20,1.9,52.0,1,146.0,58.0,2.6,0.05,7.3,2.9,0.98306,0.742
cifar,trainUval,resnet,20,48,a1,0.01,0.01,18,1.8888888888888888,40.0,1,109.0,49.0,2.2222222222222223,0.05555555555555555,6.055555555555555,2.7222222222222223,0.97982,0.7308
cifar,trainUval,resnet,20,6,a1,0.01,0.01,44,1.9545454545454546,328.0,1,1586.0,240.0,7.454545454545454,0.022727272727272728,36.04545454545455,5.454545454545454,0.78514,0.692
cifar,trainUval,resnet,20,9,a1,0.01,0.01,24,1.9166666666666667,94.0,1,259.0,83.0,3.9166666666666665,0.041666666666666664,10.791666666666666,3.4583333333333335,0.88314,0.7137
cifar,val,resnet,20,0,a1,0.01,0.01,450,2.0691244239631335,,17,1991488.0,25183.0,,0.03777777777777778,4425.528888888889,55.96222222222222,0.1,0.1
cifar,val,resnet,20,12,a1,0.01,0.01,20,1.9,72.0,1,165.0,64.0,3.6,0.05,8.25,3.2,0.93352,0.7355
cifar,val,resnet,20,15,a1,0.01,0.01,16,1.875,26.0,1,72.0,39.0,1.625,0.0625,4.5,2.4375,0.9403,0.7192
cifar,val,resnet,20,18,a1,0.01,0.01,20,1.9,64.0,1,160.0,62.0,3.2,0.05,8.0,3.1,0.95238,0.7201
cifar,val,resnet,20,21,a1,0.01,0.01,18,1.8888888888888888,56.0,1,120.0,53.0,3.111111111111111,0.05555555555555555,6.666666666666667,2.9444444444444446,0.96878,0.7343
cifar,val,resnet,20,24,a1,0.01,0.01,10,1.8,12.0,1,20.0,19.0,1.2,0.1,2.0,1.9,0.96746,0.7267
cifar,val,resnet,20,27,a1,0.01,0.01,12,1.8333333333333333,14.0,1,33.0,25.0,1.1666666666666667,0.08333333333333333,2.75,2.0833333333333335,0.9736,0.7302
cifar,val,resnet,20,30,a1,0.01,0.01,16,1.875,32.0,1,75.0,40.0,2.0,0.0625,4.6875,2.5,0.97678,0.7454
cifar,val,resnet,20,33,a1,0.01,0.01,10,1.8,4.0,1,15.0,17.0,0.4,0.1,1.5,1.7,0.98052,0.7376
cifar,val,resnet,20,36,a1,0.01,0.01,20,1.9,62.0,1,156.0,61.0,3.1,0.05,7.8,3.05,0.97656,0.737
cifar,val,resnet,20,39,a1,0.01,0.01,18,1.8888888888888888,56.0,1,120.0,53.0,3.111111111111111,0.05555555555555555,6.666666666666667,2.9444444444444446,0.97666,0.7365
cifar,val,resnet,20,3,a1,0.01,0.01,38,1.9473684210526316,212.0,1,890.0,171.0,5.578947368421052,0.02631578947368421,23.42105263157895,4.5,0.64486,0.6114
cifar,val,resnet,20,42,a1,0.01,0.01,18,1.8888888888888888,36.0,1,101.0,47.0,2.0,0.05555555555555555,5.611111111111111,2.611111111111111,0.9776,0.7333
cifar,val,resnet,20,45,a1,0.01,0.01,16,1.875,22.0,1,63.0,37.0,1.375,0.0625,3.9375,2.3125,0.98306,0.742
cifar,val,resnet,20,48,a1,0.01,0.01,12,1.8333333333333333,20.0,1,35.0,26.0,1.6666666666666667,0.08333333333333333,2.9166666666666665,2.1666666666666665,0.97982,0.7308
cifar,val,resnet,20,6,a1,0.01,0.01,24,1.9166666666666667,78.0,1,226.0,77.0,3.25,0.041666666666666664,9.416666666666666,3.2083333333333335,0.78514,0.692
cifar,val,resnet,20,9,a1,0.01,0.01,24,1.9166666666666667,82.0,1,237.0,79.0,3.4166666666666665,0.041666666666666664,9.875,3.2916666666666665,0.88314,0.7137
mnist,train,resnet,20,0,a1,0.01,0.01,884,2.072769953051643,,32,14855457.0,96241.0,,0.03619909502262444,16804.81561085973,108.86990950226244,0.09793333333333333,0.0974
mnist,train,resnet,20,10,a1,0.01,0.01,20,1.9,40.0,1,105.0,52.0,2.0,0.05,5.25,2.6,0.9925,0.9873
mnist,train,resnet,20,11,a1,0.01,0.01,20,1.9,72.0,1,165.0,64.0,3.6,0.05,8.25,3.2,0.9925,0.9872
mnist,train,resnet,20,12,a1,0.01,0.01,20,1.9,62.0,1,156.0,61.0,3.1,0.05,7.8,3.05,0.9879833333333333,0.9823
mnist,train,resnet,20,13,a1,0.01,0.01,20,1.9,42.0,1,131.0,55.0,2.1,0.05,6.55,2.75,0.98465,0.9806
mnist,train,resnet,20,14,a1,0.01,0.01,20,1.9,52.0,1,144.0,58.0,2.6,0.05,7.2,2.9,0.97775,0.9726
mnist,train,resnet,20,15,a1,0.01,0.01,20,1.9,44.0,1,120.0,54.0,2.2,0.05,6.0,2.7,0.9932333333333333,0.9874
mnist,train,resnet,20,1,a1,0.01,0.01,20,1.9,72.0,1,165.0,64.0,3.6,0.05,8.25,3.2,0.96455,0.9668
mnist,train,resnet,20,2,a1,0.01,0.01,24,1.9166666666666667,90.0,1,265.0,83.0,3.75,0.041666666666666664,11.041666666666666,3.4583333333333335,0.9676666666666667,0.9692
mnist,train,resnet,20,3,a1,0.01,0.01,20,1.9,72.0,1,165.0,64.0,3.6,0.05,8.25,3.2,0.98405,0.9826
mnist,train,resnet,20,4,a1,0.01,0.01,20,1.9,34.0,1,111.0,51.0,1.7,0.05,5.55,2.55,0.9848333333333333,0.9844
mnist,train,resnet,20,5,a1,0.01,0.01,20,1.9,28.0,1,108.0,50.0,1.4,0.05,5.4,2.5,0.9867166666666667,0.9828
mnist,train,resnet,20,6,a1,0.01,0.01,20,1.9,62.0,1,156.0,61.0,3.1,0.05,7.8,3.05,0.9903333333333333,0.9862
mnist,train,resnet,20,7,a1,0.01,0.01,20,1.9,72.0,1,165.0,64.0,3.6,0.05,8.25,3.2,0.9912333333333333,0.9857
