dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
mnist,trainUval,densenet,20,10,a1,3.790707705775276e-05,valley=classes,20,1,1.9,36.0,1,115.0,52.0,0.9902,0.9851
mnist,trainUval,densenet,20,11,a1,0.00019903862266801298,valley=classes,20,1,1.9,44.0,1,121.0,54.0,0.98765,0.9825
mnist,trainUval,densenet,20,12,a1,0.0002002488763537258,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.9868333333333333,0.978
mnist,trainUval,densenet,20,13,a1,0.0005994304083287716,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.9907833333333333,0.9863
mnist,trainUval,densenet,20,14,a1,0.0005915954243391752,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.9939,0.9902
mnist,trainUval,densenet,20,15,a1,0.00035076990025117993,valley=classes,20,1,1.9,54.0,1,149.0,59.0,0.99135,0.9851
mnist,trainUval,densenet,20,1,a1,0.020254332572221756,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9468,0.9424
mnist,trainUval,densenet,20,2,a1,0.003400953020900488,valley=classes,20,1,1.9,46.0,1,125.0,55.0,0.9785,0.976
mnist,trainUval,densenet,20,3,a1,0.0026373695582151413,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9830666666666666,0.98
mnist,trainUval,densenet,20,4,a1,0.0009373428765684366,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9876166666666667,0.9865
mnist,trainUval,densenet,20,5,a1,0.0014909857418388128,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.9910166666666667,0.9883
mnist,trainUval,densenet,20,6,a1,0.00042058213148266077,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9916333333333334,0.9882
mnist,trainUval,densenet,20,7,a1,4.100691148778424e-05,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9882,0.9853
mnist,trainUval,densenet,20,8,a1,0.0052143787033855915,valley=classes,20,1,1.9,20.0,1,84.0,46.0,0.9929166666666667,0.9887
mnist,trainUval,densenet,20,9,a1,0.0013148279394954443,valley=classes,20,1,1.9,38.0,1,118.0,53.0,0.9940833333333333,0.9891
mnist,val,densenet,20,0,a1,0.023363232612609863,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.0981,0.0961
mnist,val,densenet,20,10,a1,0.0010119121288880706,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.9902,0.9851
mnist,val,densenet,20,11,a1,4.529942088993266e-06,valley=classes,20,1,1.9,40.0,1,105.0,52.0,0.98765,0.9825
mnist,val,densenet,20,12,a1,2.348364250792656e-05,valley=classes,20,1,1.9,16.0,1,80.0,46.0,0.9868333333333333,0.978
mnist,val,densenet,20,13,a1,2.145761300198501e-06,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.9907833333333333,0.9863
mnist,val,densenet,20,14,a1,8.225072087952867e-05,valley=classes,19,2,2.0,28.0,2,118.0,50.0,0.9939,0.9902
mnist,val,densenet,20,15,a1,0.0002511412894818932,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.99135,0.9851
mnist,val,densenet,20,1,a1,0.0017156712710857391,valley=classes,20,1,1.9,46.0,1,129.0,55.0,0.9468,0.9424
mnist,val,densenet,20,2,a1,4.625200745067559e-05,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9785,0.976
