dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,trainUval,densenet,20,18,a1,0.001,1e-3,26,1.9230769230769231,112.0,1,345.0,97.0,0.93044,0.7493
cifar,trainUval,densenet,20,21,a1,0.001,1e-3,24,1.9166666666666667,62.0,1,187.0,71.0,0.95162,0.749
cifar,trainUval,densenet,20,24,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.95506,0.7413
cifar,trainUval,densenet,20,27,a1,0.001,1e-3,22,1.9090909090909092,80.0,1,211.0,73.0,0.9589,0.7468
cifar,trainUval,densenet,20,30,a1,0.001,1e-3,22,1.9090909090909092,54.0,1,164.0,64.0,0.96386,0.7517
cifar,trainUval,densenet,20,33,a1,0.001,1e-3,20,1.9,66.0,1,163.0,63.0,0.97058,0.7626
cifar,trainUval,densenet,20,36,a1,0.001,1e-3,20,1.9,60.0,1,151.0,60.0,0.95304,0.7403
cifar,trainUval,densenet,20,39,a1,0.001,1e-3,22,1.9090909090909092,74.0,1,193.0,70.0,0.9645,0.7509
cifar,trainUval,densenet,20,3,a1,0.001,1e-3,287,2.0140845070422535,,4,399140.0,7589.0,0.57684,0.5581
cifar,trainUval,densenet,20,42,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.95498,0.7467
cifar,trainUval,densenet,20,45,a1,0.001,1e-3,22,1.9090909090909092,40.0,1,140.0,59.0,0.96312,0.754
cifar,trainUval,densenet,20,48,a1,0.001,1e-3,22,1.9090909090909092,58.0,1,162.0,64.0,0.95776,0.7486
cifar,trainUval,densenet,20,6,a1,0.001,1e-3,163,2.0,4943.0,2,73488.0,2796.0,0.70066,0.6599
cifar,trainUval,densenet,20,9,a1,0.001,1e-3,52,1.9615384615384615,406.0,1,2204.0,295.0,0.81172,0.7244
cifar,val,densenet,20,0,a1,0.001,1e-3,481,2.060085836909871,,16,2220555.0,26443.0,0.09992,0.0998
cifar,val,densenet,20,12,a1,0.001,1e-3,28,1.9285714285714286,124.0,1,397.0,106.0,0.87682,0.7403
cifar,val,densenet,20,15,a1,0.001,1e-3,28,1.9285714285714286,102.0,1,341.0,97.0,0.90258,0.7422
cifar,val,densenet,20,18,a1,0.001,1e-3,28,1.9285714285714286,74.0,1,309.0,89.0,0.93044,0.7493
cifar,val,densenet,20,21,a1,0.001,1e-3,32,1.9375,152.0,1,582.0,130.0,0.95162,0.749
cifar,val,densenet,20,24,a1,0.001,1e-3,24,1.9166666666666667,66.0,1,212.0,73.0,0.95506,0.7413
cifar,val,densenet,20,27,a1,0.001,1e-3,22,1.9090909090909092,72.0,1,185.0,69.0,0.9589,0.7468
cifar,val,densenet,20,30,a1,0.001,1e-3,22,1.9090909090909092,32.0,1,134.0,57.0,0.96386,0.7517
cifar,val,densenet,20,33,a1,0.001,1e-3,22,1.9090909090909092,80.0,1,211.0,73.0,0.97058,0.7626
cifar,val,densenet,20,36,a1,0.001,1e-3,26,1.9230769230769231,108.0,1,332.0,95.0,0.95304,0.7403
cifar,val,densenet,20,39,a1,0.001,1e-3,23,2.0,90.0,2,276.0,84.0,0.9645,0.7509
cifar,val,densenet,20,3,a1,0.001,1e-3,108,1.9814814814814814,1944.0,1,21350.0,1178.0,0.57684,0.5581
cifar,val,densenet,20,42,a1,0.001,1e-3,28,1.9285714285714286,148.0,1,450.0,116.0,0.95498,0.7467
cifar,val,densenet,20,45,a1,0.001,1e-3,22,1.9090909090909092,54.0,1,166.0,64.0,0.96312,0.754
cifar,val,densenet,20,48,a1,0.001,1e-3,20,1.9,64.0,1,160.0,62.0,0.95776,0.7486
cifar,val,densenet,20,6,a1,0.001,1e-3,58,1.9655172413793103,512.0,1,3363.0,371.0,0.70066,0.6599
cifar,val,densenet,20,9,a1,0.001,1e-3,36,1.9444444444444444,184.0,1,792.0,156.0,0.81172,0.7244
mnist,train,densenet,20,0,a1,0.001,1e-3,1232,2.0516666666666667,,32,39985256.0,187656.0,0.0981,0.0961
mnist,train,densenet,20,10,a1,0.001,1e-3,20,1.9,46.0,1,129.0,55.0,0.9902,0.9851
mnist,train,densenet,20,11,a1,0.001,1e-3,20,1.9,18.0,1,83.0,47.0,0.98765,0.9825
mnist,train,densenet,20,12,a1,0.001,1e-3,20,1.9,28.0,1,106.0,50.0,0.9868333333333333,0.978
mnist,train,densenet,20,13,a1,0.001,1e-3,20,1.9,64.0,1,160.0,62.0,0.9907833333333333,0.9863
mnist,train,densenet,20,14,a1,0.001,1e-3,20,1.9,48.0,1,133.0,56.0,0.9939,0.9902
mnist,train,densenet,20,15,a1,0.001,1e-3,20,1.9,42.0,1,129.0,55.0,0.99135,0.9851
mnist,train,densenet,20,1,a1,0.001,1e-3,24,1.9166666666666667,60.0,1,214.0,72.0,0.9468,0.9424
mnist,train,densenet,20,2,a1,0.001,1e-3,24,1.9166666666666667,62.0,1,215.0,73.0,0.9785,0.976
mnist,train,densenet,20,3,a1,0.001,1e-3,22,1.9090909090909092,52.0,1,164.0,63.0,0.9830666666666666,0.98
mnist,train,densenet,20,4,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.9876166666666667,0.9865
mnist,train,densenet,20,5,a1,0.001,1e-3,22,1.9090909090909092,64.0,1,180.0,67.0,0.9910166666666667,0.9883
mnist,train,densenet,20,6,a1,0.001,1e-3,20,1.9,28.0,1,106.0,50.0,0.9916333333333334,0.9882
mnist,train,densenet,20,7,a1,0.001,1e-3,20,1.9,24.0,1,94.0,48.0,0.9882,0.9853
mnist,train,densenet,20,8,a1,0.001,1e-3,22,1.9090909090909092,22.0,1,100.0,52.0,0.9929166666666667,0.9887
mnist,train,densenet,20,9,a1,0.001,1e-3,22,1.9090909090909092,54.0,1,165.0,64.0,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,0,a1,0.001,1e-3,1400,2.0453216374269005,,32,57461163.0,238426.0,0.0981,0.0961
mnist,trainUval,densenet,20,10,a1,0.001,1e-3,20,1.9,36.0,1,115.0,52.0,0.9902,0.9851
mnist,trainUval,densenet,20,11,a1,0.001,1e-3,20,1.9,44.0,1,121.0,54.0,0.98765,0.9825
mnist,trainUval,densenet,20,12,a1,0.001,1e-3,20,1.9,28.0,1,106.0,50.0,0.9868333333333333,0.978
mnist,trainUval,densenet,20,13,a1,0.001,1e-3,20,1.9,66.0,1,163.0,63.0,0.9907833333333333,0.9863
mnist,trainUval,densenet,20,14,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.9939,0.9902
mnist,trainUval,densenet,20,15,a1,0.001,1e-3,20,1.9,54.0,1,149.0,59.0,0.99135,0.9851
mnist,trainUval,densenet,20,1,a1,0.001,1e-3,28,1.9285714285714286,122.0,1,391.0,105.0,0.9468,0.9424
mnist,trainUval,densenet,20,2,a1,0.001,1e-3,24,1.9166666666666667,48.0,1,167.0,66.0,0.9785,0.976
mnist,trainUval,densenet,20,3,a1,0.001,1e-3,22,1.9090909090909092,52.0,1,164.0,63.0,0.9830666666666666,0.98
mnist,trainUval,densenet,20,4,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9876166666666667,0.9865
mnist,trainUval,densenet,20,5,a1,0.001,1e-3,22,1.9090909090909092,66.0,1,183.0,68.0,0.9910166666666667,0.9883
mnist,trainUval,densenet,20,6,a1,0.001,1e-3,20,1.9,60.0,1,151.0,60.0,0.9916333333333334,0.9882
mnist,trainUval,densenet,20,7,a1,0.001,1e-3,20,1.9,64.0,1,160.0,62.0,0.9882,0.9853
mnist,trainUval,densenet,20,8,a1,0.001,1e-3,26,1.9230769230769231,32.0,1,148.0,67.0,0.9929166666666667,0.9887
mnist,trainUval,densenet,20,9,a1,0.001,1e-3,22,1.9090909090909092,50.0,1,155.0,62.0,0.9940833333333333,0.9891
mnist,val,densenet,20,0,a1,0.001,1e-3,199,2.0412371134020617,,6,157848.0,4732.0,0.0981,0.0961
mnist,val,densenet,20,10,a1,0.001,1e-3,22,1.9090909090909092,62.0,1,179.0,66.0,0.9902,0.9851
mnist,val,densenet,20,11,a1,0.001,1e-3,20,1.9,40.0,1,105.0,52.0,0.98765,0.9825
mnist,val,densenet,20,12,a1,0.001,1e-3,20,1.9,16.0,1,80.0,46.0,0.9868333333333333,0.978
mnist,val,densenet,20,13,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.9907833333333333,0.9863
mnist,val,densenet,20,14,a1,0.001,1e-3,19,2.0,28.0,2,118.0,50.0,0.9939,0.9902
mnist,val,densenet,20,15,a1,0.001,1e-3,18,1.8888888888888888,42.0,1,100.0,48.0,0.99135,0.9851
mnist,val,densenet,20,1,a1,0.001,1e-3,22,1.9090909090909092,44.0,1,140.0,59.0,0.9468,0.9424
mnist,val,densenet,20,2,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9785,0.976
mnist,val,densenet,20,3,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.9830666666666666,0.98
mnist,val,densenet,20,4,a1,0.001,1e-3,20,1.9,54.0,1,130.0,57.0,0.9876166666666667,0.9865
mnist,val,densenet,20,5,a1,0.001,1e-3,20,1.9,66.0,1,163.0,63.0,0.9910166666666667,0.9883
mnist,val,densenet,20,6,a1,0.001,1e-3,18,1.8888888888888888,44.0,1,106.0,49.0,0.9916333333333334,0.9882
mnist,val,densenet,20,7,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9882,0.9853
mnist,val,densenet,20,8,a1,0.001,1e-3,20,1.9,48.0,1,136.0,56.0,0.9929166666666667,0.9887
mnist,val,densenet,20,9,a1,0.001,1e-3,20,1.9,16.0,1,80.0,46.0,0.9940833333333333,0.9891
cifar,train,resnet,20,0,a1,0.001,1e-3,2460,2.123488773747841,,125,333211304.0,755802.0,0.1,0.1
cifar,train,resnet,20,12,a1,0.001,1e-3,34,1.9411764705882353,136.0,1,560.0,129.0,0.93352,0.7355
cifar,train,resnet,20,15,a1,0.001,1e-3,24,1.9166666666666667,74.0,1,232.0,77.0,0.9403,0.7192
cifar,train,resnet,20,18,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.95238,0.7201
cifar,train,resnet,20,21,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.96878,0.7343
cifar,train,resnet,20,24,a1,0.001,1e-3,20,1.9,36.0,1,117.0,52.0,0.96746,0.7267
cifar,train,resnet,20,27,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9736,0.7302
cifar,train,resnet,20,30,a1,0.001,1e-3,20,1.9,42.0,1,129.0,55.0,0.97678,0.7454
cifar,train,resnet,20,33,a1,0.001,1e-3,20,1.9,28.0,1,106.0,50.0,0.98052,0.7376
cifar,train,resnet,20,36,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.97656,0.737
cifar,train,resnet,20,39,a1,0.001,1e-3,20,1.9,54.0,1,130.0,57.0,0.97666,0.7365
cifar,train,resnet,20,3,a1,0.001,1e-3,144,1.9861111111111112,3792.0,1,52340.0,2162.0,0.64486,0.6114
cifar,train,resnet,20,42,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9776,0.7333
cifar,train,resnet,20,45,a1,0.001,1e-3,20,1.9,52.0,1,146.0,58.0,0.98306,0.742
cifar,train,resnet,20,48,a1,0.001,1e-3,20,1.9,34.0,1,108.0,51.0,0.97982,0.7308
cifar,train,resnet,20,6,a1,0.001,1e-3,63,2.0,522.0,2,3631.0,384.0,0.78514,0.692
cifar,train,resnet,20,9,a1,0.001,1e-3,39,2.0,177.0,2,843.0,163.0,0.88314,0.7137
cifar,trainUval,resnet,20,0,a1,0.001,1e-3,2879,2.146159582401193,,163,546292447.0,1047562.0,0.1,0.1
cifar,trainUval,resnet,20,12,a1,0.001,1e-3,34,1.9411764705882353,116.0,1,492.0,121.0,0.93352,0.7355
cifar,trainUval,resnet,20,15,a1,0.001,1e-3,22,1.9090909090909092,70.0,1,201.0,70.0,0.9403,0.7192
cifar,trainUval,resnet,20,18,a1,0.001,1e-3,20,1.9,52.0,1,146.0,58.0,0.95238,0.7201
cifar,trainUval,resnet,20,21,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.96878,0.7343
cifar,trainUval,resnet,20,24,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.96746,0.7267
cifar,trainUval,resnet,20,27,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.9736,0.7302
cifar,trainUval,resnet,20,30,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.97678,0.7454
cifar,trainUval,resnet,20,33,a1,0.001,1e-3,20,1.9,40.0,1,128.0,54.0,0.98052,0.7376
cifar,trainUval,resnet,20,36,a1,0.001,1e-3,20,1.9,62.0,1,156.0,61.0,0.97656,0.737
cifar,trainUval,resnet,20,39,a1,0.001,1e-3,20,1.9,40.0,1,110.0,52.0,0.97666,0.7365
cifar,trainUval,resnet,20,3,a1,0.001,1e-3,152,1.986842105263158,4000.0,1,58396.0,2286.0,0.64486,0.6114
cifar,trainUval,resnet,20,42,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9776,0.7333
cifar,trainUval,resnet,20,45,a1,0.001,1e-3,20,1.9,52.0,1,146.0,58.0,0.98306,0.742
cifar,trainUval,resnet,20,48,a1,0.001,1e-3,20,1.9,52.0,1,146.0,58.0,0.97982,0.7308
cifar,trainUval,resnet,20,6,a1,0.001,1e-3,67,2.0,638.0,2,4792.0,453.0,0.78514,0.692
cifar,trainUval,resnet,20,9,a1,0.001,1e-3,34,1.9411764705882353,144.0,1,602.0,133.0,0.88314,0.7137
cifar,val,resnet,20,0,a1,0.001,1e-3,518,2.0931174089068825,,24,3077849.0,33223.0,0.1,0.1
cifar,val,resnet,20,12,a1,0.001,1e-3,24,1.9166666666666667,100.0,1,277.0,86.0,0.93352,0.7355
cifar,val,resnet,20,15,a1,0.001,1e-3,22,1.9090909090909092,66.0,1,188.0,68.0,0.9403,0.7192
cifar,val,resnet,20,18,a1,0.001,1e-3,22,1.9090909090909092,80.0,1,211.0,73.0,0.95238,0.7201
cifar,val,resnet,20,21,a1,0.001,1e-3,22,1.9090909090909092,82.0,1,215.0,74.0,0.96878,0.7343
cifar,val,resnet,20,24,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.96746,0.7267
cifar,val,resnet,20,27,a1,0.001,1e-3,20,1.9,44.0,1,124.0,54.0,0.9736,0.7302
cifar,val,resnet,20,30,a1,0.001,1e-3,24,1.9166666666666667,94.0,1,259.0,83.0,0.97678,0.7454
cifar,val,resnet,20,33,a1,0.001,1e-3,20,1.9,34.0,1,103.0,51.0,0.98052,0.7376
cifar,val,resnet,20,36,a1,0.001,1e-3,20,1.9,62.0,1,156.0,61.0,0.97656,0.737
cifar,val,resnet,20,39,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.97666,0.7365
cifar,val,resnet,20,3,a1,0.001,1e-3,52,1.9615384615384615,342.0,1,2008.0,269.0,0.64486,0.6114
cifar,val,resnet,20,42,a1,0.001,1e-3,20,1.9,48.0,1,136.0,56.0,0.9776,0.7333
cifar,val,resnet,20,45,a1,0.001,1e-3,20,1.9,36.0,1,111.0,52.0,0.98306,0.742
cifar,val,resnet,20,48,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.97982,0.7308
cifar,val,resnet,20,6,a1,0.001,1e-3,46,1.9565217391304348,214.0,1,1021.0,190.0,0.78514,0.692
cifar,val,resnet,20,9,a1,0.001,1e-3,28,1.9285714285714286,96.0,1,326.0,96.0,0.88314,0.7137
mnist,train,resnet,20,0,a1,0.001,1e-3,1436,2.101024890190337,,66,64969356.0,254416.0,0.09793333333333333,0.0974
mnist,train,resnet,20,10,a1,0.001,1e-3,20,1.9,40.0,1,105.0,52.0,0.9925,0.9873
mnist,train,resnet,20,11,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9925,0.9872
mnist,train,resnet,20,12,a1,0.001,1e-3,20,1.9,62.0,1,156.0,61.0,0.9879833333333333,0.9823
mnist,train,resnet,20,13,a1,0.001,1e-3,20,1.9,42.0,1,131.0,55.0,0.98465,0.9806
mnist,train,resnet,20,14,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.97775,0.9726
mnist,train,resnet,20,15,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.9932333333333333,0.9874
mnist,train,resnet,20,1,a1,0.001,1e-3,22,1.9090909090909092,78.0,1,206.0,72.0,0.96455,0.9668
mnist,train,resnet,20,2,a1,0.001,1e-3,28,1.9285714285714286,102.0,1,364.0,99.0,0.9676666666666667,0.9692
mnist,train,resnet,20,3,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.98405,0.9826
mnist,train,resnet,20,4,a1,0.001,1e-3,20,1.9,34.0,1,111.0,51.0,0.9848333333333333,0.9844
mnist,train,resnet,20,5,a1,0.001,1e-3,20,1.9,28.0,1,108.0,50.0,0.9867166666666667,0.9828
mnist,train,resnet,20,6,a1,0.001,1e-3,20,1.9,62.0,1,156.0,61.0,0.9903333333333333,0.9862
mnist,train,resnet,20,7,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9912333333333333,0.9857
mnist,train,resnet,20,8,a1,0.001,1e-3,20,1.9,34.0,1,109.0,51.0,0.99085,0.9876
mnist,train,resnet,20,9,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.99015,0.984
mnist,trainUval,resnet,20,0,a1,0.001,1e-3,1703,2.0806845965770173,,60,105826816.0,353454.0,0.09793333333333333,0.0974
mnist,trainUval,resnet,20,10,a1,0.001,1e-3,20,1.9,40.0,1,105.0,52.0,0.9925,0.9873
mnist,trainUval,resnet,20,11,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.9925,0.9872
mnist,trainUval,resnet,20,12,a1,0.001,1e-3,20,1.9,56.0,1,153.0,60.0,0.9879833333333333,0.9823
mnist,trainUval,resnet,20,13,a1,0.001,1e-3,20,1.9,40.0,1,126.0,54.0,0.98465,0.9806
mnist,trainUval,resnet,20,14,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.97775,0.9726
mnist,trainUval,resnet,20,15,a1,0.001,1e-3,20,1.9,16.0,1,80.0,46.0,0.9932333333333333,0.9874
mnist,trainUval,resnet,20,1,a1,0.001,1e-3,22,1.9090909090909092,74.0,1,193.0,70.0,0.96455,0.9668
mnist,trainUval,resnet,20,2,a1,0.001,1e-3,28,1.9285714285714286,104.0,1,345.0,98.0,0.9676666666666667,0.9692
mnist,trainUval,resnet,20,3,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.98405,0.9826
mnist,trainUval,resnet,20,4,a1,0.001,1e-3,20,1.9,28.0,1,106.0,50.0,0.9848333333333333,0.9844
mnist,trainUval,resnet,20,5,a1,0.001,1e-3,20,1.9,28.0,1,108.0,50.0,0.9867166666666667,0.9828
mnist,trainUval,resnet,20,6,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.9903333333333333,0.9862
mnist,trainUval,resnet,20,7,a1,0.001,1e-3,20,1.9,62.0,1,156.0,61.0,0.9912333333333333,0.9857
mnist,trainUval,resnet,20,8,a1,0.001,1e-3,20,1.9,32.0,1,105.0,50.0,0.99085,0.9876
mnist,trainUval,resnet,20,9,a1,0.001,1e-3,20,1.9,50.0,1,140.0,57.0,0.99015,0.984
mnist,val,resnet,20,0,a1,0.001,1e-3,278,2.051851851851852,,9,466282.0,9855.0,0.09793333333333333,0.0974
mnist,val,resnet,20,10,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.9925,0.9873
mnist,val,resnet,20,11,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.9925,0.9872
mnist,val,resnet,20,12,a1,0.001,1e-3,20,1.9,36.0,1,114.0,52.0,0.9879833333333333,0.9823
mnist,val,resnet,20,13,a1,0.001,1e-3,20,1.9,34.0,1,109.0,51.0,0.98465,0.9806
mnist,val,resnet,20,14,a1,0.001,1e-3,19,2.0,36.0,2,123.0,51.0,0.97775,0.9726
mnist,val,resnet,20,15,a1,0.001,1e-3,19,2.0,45.0,2,141.0,55.0,0.9932333333333333,0.9874
mnist,val,resnet,20,1,a1,0.001,1e-3,22,1.9090909090909092,70.0,1,176.0,68.0,0.96455,0.9668
mnist,val,resnet,20,2,a1,0.001,1e-3,24,1.9166666666666667,66.0,1,204.0,73.0,0.9676666666666667,0.9692
mnist,val,resnet,20,3,a1,0.001,1e-3,20,1.9,24.0,1,96.0,48.0,0.98405,0.9826
mnist,val,resnet,20,4,a1,0.001,1e-3,20,1.9,40.0,1,127.0,54.0,0.9848333333333333,0.9844
mnist,val,resnet,20,5,a1,0.001,1e-3,19,2.0,35.0,2,115.0,51.0,0.9867166666666667,0.9828
mnist,val,resnet,20,6,a1,0.001,1e-3,20,1.9,40.0,1,105.0,52.0,0.9903333333333333,0.9862
mnist,val,resnet,20,7,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.9912333333333333,0.9857
mnist,val,resnet,20,8,a1,0.001,1e-3,20,1.9,42.0,1,116.0,53.0,0.99085,0.9876
mnist,val,resnet,20,9,a1,0.001,1e-3,20,1.9,48.0,1,136.0,56.0,0.99015,0.984
cifar,train,vgg,20,0,a1,0.001,1e-3,1700,2.079559363525092,,61,106608035.0,357647.0,0.0898,0.088
cifar,train,vgg,20,12,a1,0.001,1e-3,20,1.9,46.0,1,125.0,55.0,0.95462,0.7898
cifar,train,vgg,20,15,a1,0.001,1e-3,20,1.9,18.0,1,83.0,47.0,0.97316,0.7943
cifar,train,vgg,20,18,a1,0.001,1e-3,20,1.9,60.0,1,151.0,60.0,0.981,0.7998
cifar,train,vgg,20,21,a1,0.001,1e-3,20,1.9,44.0,1,121.0,54.0,0.98854,0.8085
cifar,train,vgg,20,24,a1,0.001,1e-3,20,1.9,48.0,1,136.0,56.0,0.99238,0.8068
cifar,train,vgg,20,27,a1,0.001,1e-3,20,1.9,34.0,1,111.0,51.0,0.99514,0.8122
cifar,train,vgg,20,30,a1,0.001,1e-3,20,1.9,62.0,1,156.0,61.0,0.99386,0.807
cifar,train,vgg,20,33,a1,0.001,1e-3,20,1.9,32.0,1,105.0,50.0,0.99152,0.8
cifar,train,vgg,20,36,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.99544,0.8109
cifar,train,vgg,20,39,a1,0.001,1e-3,20,1.9,36.0,1,117.0,52.0,0.99804,0.8168
cifar,train,vgg,20,3,a1,0.001,1e-3,98,1.9795918367346939,2114.0,1,19244.0,1220.0,0.69552,0.6654
cifar,train,vgg,20,42,a1,0.001,1e-3,20,1.9,40.0,1,110.0,52.0,0.99744,0.8124
cifar,train,vgg,20,44,a1,0.001,1e-3,20,1.9,60.0,1,151.0,60.0,0.99792,0.8201
cifar,train,vgg,20,45,a1,0.001,1e-3,20,1.9,56.0,1,153.0,60.0,0.99834,0.8188
cifar,train,vgg,20,48,a1,0.001,1e-3,20,1.9,52.0,1,144.0,58.0,0.99618,0.8136
cifar,train,vgg,20,6,a1,0.001,1e-3,48,1.9583333333333333,470.0,1,2246.0,311.0,0.83876,0.7557
cifar,train,vgg,20,9,a1,0.001,1e-3,22,1.9090909090909092,70.0,1,199.0,70.0,0.91268,0.78
cifar,trainUval,vgg,20,0,a1,0.001,1e-3,1961,2.0851063829787235,,72,163910869.0,474977.0,0.0898,0.088
cifar,trainUval,vgg,20,12,a1,0.001,1e-3,22,1.9090909090909092,54.0,1,174.0,64.0,0.95462,0.7898
cifar,trainUval,vgg,20,15,a1,0.001,1e-3,20,1.9,28.0,1,106.0,50.0,0.97316,0.7943
cifar,trainUval,vgg,20,18,a1,0.001,1e-3,22,1.9090909090909092,76.0,1,200.0,71.0,0.981,0.7998
cifar,trainUval,vgg,20,21,a1,0.001,1e-3,22,1.9090909090909092,76.0,1,200.0,71.0,0.98854,0.8085
cifar,trainUval,vgg,20,24,a1,0.001,1e-3,20,1.9,50.0,1,140.0,57.0,0.99238,0.8068
cifar,trainUval,vgg,20,27,a1,0.001,1e-3,22,1.9090909090909092,32.0,1,137.0,57.0,0.99514,0.8122
cifar,trainUval,vgg,20,30,a1,0.001,1e-3,20,1.9,54.0,1,149.0,59.0,0.99386,0.807
cifar,trainUval,vgg,20,33,a1,0.001,1e-3,22,1.9090909090909092,54.0,1,182.0,66.0,0.99152,0.8
cifar,trainUval,vgg,20,36,a1,0.001,1e-3,20,1.9,44.0,1,120.0,54.0,0.99544,0.8109
cifar,trainUval,vgg,20,39,a1,0.001,1e-3,22,1.9090909090909092,70.0,1,201.0,70.0,0.99804,0.8168
cifar,trainUval,vgg,20,3,a1,0.001,1e-3,128,1.984375,3652.0,1,42763.0,2040.0,0.69552,0.6654
cifar,trainUval,vgg,20,42,a1,0.001,1e-3,24,1.9166666666666667,70.0,1,221.0,75.0,0.99744,0.8124
cifar,trainUval,vgg,20,44,a1,0.001,1e-3,20,1.9,48.0,1,133.0,56.0,0.99792,0.8201
cifar,trainUval,vgg,20,45,a1,0.001,1e-3,20,1.9,48.0,1,133.0,56.0,0.99834,0.8188
